controller,rmse,mae,velocity_rmse,reward,disturbance_abs_mean,amplitude_n
PID,0.0575551017821604,0.03884447059869879,0.2449132624714117,-0.07307657475866139,0.00014451455828031723,0.003
LADRC(0.5-opt),0.058830808567803435,0.0513550189817235,0.2188061605159259,-0.07596028284434313,0.00014451455828031723,0.003
DDPG-LADRC (best v=2),0.05791631065914275,0.05009025992191826,0.22193560528610265,-0.07540687473480252,0.00014451455828031723,0.003
PID,0.062070849854467515,0.041972681561519364,0.2554569968288404,-0.07796403269778023,0.00019268607756010059,0.004
LADRC(0.5-opt),0.05800738690441423,0.0505992468213291,0.21721302740729037,-0.07494215869700191,0.00019268607756010059,0.004
DDPG-LADRC (best v=2),0.0573693932323007,0.04962676948585167,0.22186266133233945,-0.07376378759262012,0.00019268607756010059,0.004
PID,0.05976441221987108,0.041652265275467865,0.23537294841222325,-0.07520399713303826,0.0002408575963162355,0.005
LADRC(0.5-opt),0.6564881214327997,0.35057366926988376,0.9790059116147141,-0.46400742605661144,0.0002408575963162355,0.005
DDPG-LADRC (best v=2),0.05569826394608907,0.04915094508407746,0.20465885025342961,-0.07100483180865096,0.0002408575963162355,0.005
PID,0.06149106915694711,0.04103268626238361,0.26600861604406933,-0.07842414011170512,0.00028902911656063446,0.006
LADRC(0.5-opt),0.0589545624127188,0.05051746680573938,0.22703711907478635,-0.07756827433706459,0.00028902911656063446,0.006
DDPG-LADRC (best v=2),0.05631966661554598,0.04943661943128786,0.211022948221738,-0.07240295101867311,0.00028902911656063446,0.006
PID,0.05756906765704707,0.03879481182286121,0.24837202084391033,-0.07440633738347974,0.00033720063446239555,0.007
LADRC(0.5-opt),0.05771879664312992,0.05067272289497168,0.21176332456239388,-0.07312615782756246,0.00033720063446239555,0.007
DDPG-LADRC (best v=2),0.05926356170563668,0.050458979462472194,0.22757763323345626,-0.07754721682532832,0.00033720063446239555,0.007
PID,0.059929620433528855,0.0405001358474688,0.26871141539141,-0.07838453565731915,0.00038537215512020117,0.008
LADRC(0.5-opt),0.05822636403332527,0.05100633846133563,0.21242837392079855,-0.07372976181972207,0.00038537215512020117,0.008
DDPG-LADRC (best v=2),0.05870080687937751,0.04900354283013815,0.2589188862331384,-0.08116786639756439,0.00038537215512020117,0.008
PID,0.06008831955877645,0.04127180896721216,0.24974993023941788,-0.07712500447499752,0.00043354367555752327,0.009
LADRC(0.5-opt),0.34174619633451014,0.19499102634164747,0.7325584435020503,-0.2802906677496415,0.00043354367555752327,0.009
DDPG-LADRC (best v=2),0.11831344071243949,0.07496262584426445,0.5647419273283101,-0.14527269650010788,0.00043354367555752327,0.009
