method,seed,axis,mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward
pid,0,x,0.030013324702308636,0.03725202548486555,3.0013324702308637,0.0,80.0,0.026738682948052882,0.28668738589994947,80.0,0.002262360962657224,0.13093960715040734,-4.481386793144793
pid,0,y,0.013507784304718485,0.01898768897751751,1.3507784304718484,0.04882068932056427,0.0,0.03785706236958504,0.20683807959234893,0.0,0.002365908070930269,0.1540135198837629,-2.93120919015638
pid,0,z,0.011343498396420272,0.015729449945251096,1.1343498396420273,0.008344239089637995,0.0,0.003843828581739217,0.07266796435488879,0.0,0.001628450367897218,0.09152592034609437,-2.1031960879636697
ladrc,0,x,0.010152778023621068,0.012431597131828608,1.0152778023621067,0.01896701380610466,0.0,0.015487247332930564,86.96400007537801,0.0,0.06676051739865127,0.09725038436155208,-1.9825006041908635
ladrc,0,y,0.008741628472213278,0.012789266051859047,0.8741628472213279,0.026685385964810848,0.0,0.020057313749566673,97.01566901833561,0.0,0.06405439590621116,0.09767982558644082,-1.9029192067028138
ladrc,0,z,0.008203570540281362,0.011163270384707262,0.8203570540281362,0.020065803080797195,0.0,0.01867822917411104,28.27581710117477,0.0,0.030342805639359347,0.08031758642678419,-1.721531652727572
ddpg_ladrc,0,x,0.024250337694575137,0.030533278740020476,2.4250337694575137,0.044296953827142715,54.0,0.03557154983282089,15.039304970379222,54.0,0.01813081085408691,0.1846985487724414,-4.87992960370975
ddpg_ladrc,0,y,0.011334541691685445,0.016054432809059518,1.1334541691685445,0.03544003621209413,0.0,0.03267433905275539,52.70144265221911,0.0,0.0486982190703205,0.12108641220450157,-2.523315674693731
ddpg_ladrc,0,z,0.0015087928454158828,0.002134126671179156,0.15087928454158828,0.00543636828660965,0.0,0.0009214507415890693,177.34537513223077,0.0,0.2556359517325393,0.048206274612291086,-0.6080547794816085
mddpg_ladrc,0,x,0.016360122863552533,0.02323589892201983,1.6360122863552533,0.05084557691588998,99.0,0.049180617462843655,48.62517109480161,99.0,0.031961747284346614,0.13951214469212614,-3.2367795939673676
mddpg_ladrc,0,y,0.0206889217906064,0.02570073314554222,2.06889217906064,0.0508872214704752,99.0,0.04450714457780123,13.246849876339443,99.0,0.01861584679502103,0.1572341243145032,-4.135532226859503
mddpg_ladrc,0,z,0.009061613418416527,0.012304526382518246,0.9061613418416528,0.026025199331343174,0.0,0.02468971242196858,20.203363962148593,0.0,0.026614607959159098,0.0842345758625936,-1.8702341898133457
