method,seed,axis,mae,rmse,iae,overshoot,settling_time,steady_state_error,control_energy,disturbance_recovery_time,control_variation,velocity_rmse,reward
pid,0,x,0.0730264490020545,0.09096202433642814,7.3026449002054505,0.0,91.0,0.03562086895108223,1.744021163259469,91.0,0.006060434381126345,0.3506376705506291,-11.548032464187965
pid,0,y,0.02276912129460925,0.029144551382526866,2.276912129460925,0.05268031172454357,99.0,0.03798392154276371,0.3656531022842678,99.0,0.003307395805099491,0.20719172817334197,-4.456797181576349
pid,0,z,0.03846420975822184,0.0494129952512843,3.846420975822184,0.0,80.0,0.014038435928523541,0.5564552669761754,80.0,0.0038156357123072526,0.21673908562751015,-6.245364877440078
ladrc,0,x,0.027637909993645734,0.03364600982764812,2.7637909993645735,0.05833253264427185,87.0,0.030425715446472167,604.9089380487593,87.0,0.17718123703824176,0.2581195006853687,-5.607897159096321
ladrc,0,y,0.01266789819172118,0.01658640709787842,1.2667898191721179,0.03203159291297197,0.0,0.024237085692584516,159.19289272868346,0.0,0.09013665525928867,0.12476292148212254,-2.6229700110969136
ladrc,0,z,0.02161350244990899,0.02770595651261193,2.1613502449908992,0.04668336361646652,0.0,0.04259305894374847,162.9604131608321,0.0,0.07050917917772836,0.19014429783771847,-4.328956311437652
ddpg_ladrc,0,x,0.03943198964683688,0.04875127660546634,3.9431989646836882,0.07924545556306839,99.0,0.07814127281308174,207.36249962102687,99.0,0.07184873661508377,0.3007171454911024,-7.524232421009219
ddpg_ladrc,0,y,0.011524718671571463,0.014692676189681324,1.1524718671571463,0.02261568233370781,0.0,0.004137010365957395,434.61498323624727,0.0,0.2040353893293198,0.17294825144276,-2.923828115640207
ddpg_ladrc,0,z,0.001327878963202238,0.002293477081803839,0.1327878963202238,0.007499769330024719,0.0,0.001223122701048851,1095.4733295313747,0.0,0.7807603429669351,0.07512096911701288,-0.6643134356825611
mddpg_ladrc,0,x,0.0044643127667950465,0.006786976550426498,0.44643127667950466,0.011839382350444794,0.0,0.002505563199520111,551.4142141951903,0.0,0.36681829008970435,0.11440774367211011,-1.5852620737743568
mddpg_ladrc,0,y,0.0031404140137601642,0.004434044138898352,0.31404140137601644,0.010753259062767029,0.0,0.0023188211023807527,1639.0345290535263,0.0,0.8728928962332496,0.12350612915950838,-1.3949642610270532
mddpg_ladrc,0,z,0.001469345394289121,0.002062352782274402,0.1469345394289121,0.005451396107673645,0.0,0.0023930488154292107,819.3138256659955,0.0,0.7196683813845448,0.06453792827711662,-0.6335207524127329
