controller,stage,start,stop,velocity,rmse,mae
pid_pos_att,0,0,5,0.0,0.0,0.0
pid_pos_att,1,5,125,0.6,0.041809321092603956,0.02343078252568489
pid_pos_att,2,125,264,0.0,0.5746071406251114,0.5400072722126255
pid_pos_att,3,264,384,-0.6,1.442453949328383,1.3759305347766106
ladrc_x_pos_pid_att_default,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_default,1,5,125,0.6,0.2112020427435811,0.20372103758387444
ladrc_x_pos_pid_att_default,2,125,264,0.0,0.6999421064261379,0.6538662859004178
ladrc_x_pos_pid_att_default,3,264,384,-0.6,1.583805406553557,1.5234693695868675
ladrc_x_pos_pid_att_tuned,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_tuned,1,5,125,0.6,0.2744265404747392,0.21632014466302393
ladrc_x_pos_pid_att_tuned,2,125,264,0.0,0.297996045016926,0.29799604501655635
ladrc_x_pos_pid_att_tuned,3,264,384,-0.6,0.6214353271992594,0.5074512382115548
