controller,stage,start,stop,velocity,rmse,mae
pid_pos_att,0,0,5,0.0,0.0,0.0
pid_pos_att,1,5,101,0.4,0.029293282537980303,0.017267395439089245
pid_pos_att,2,101,149,0.0,0.04097249096501419,0.032337443282206856
pid_pos_att,3,149,245,-0.6,0.04882698554231898,0.030526840140939593
ladrc_x_pos_pid_att_default,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_default,1,5,101,0.4,0.1443261142024304,0.13864390889172964
ladrc_x_pos_pid_att_default,2,101,149,0.0,0.06285851564504738,0.05691106244921684
ladrc_x_pos_pid_att_default,3,149,245,-0.6,0.2586742771732421,0.2526435455979987
ladrc_x_pos_pid_att_retuned,0,0,5,0.0,0.0,0.0
ladrc_x_pos_pid_att_retuned,1,5,101,0.4,0.14745907616627785,0.1416601051230367
ladrc_x_pos_pid_att_retuned,2,101,149,0.0,0.06198703210435568,0.054787723968426384
ladrc_x_pos_pid_att_retuned,3,149,245,-0.6,0.266647172718583,0.2609787104140398
