episode,average_reward,reward
1.0,-393.4043658081192,-393.4043658081192
2.0,-413.0003129410025,-432.5962600738858
3.0,-396.2133988327186,-362.6395706161507
4.0,-363.2213163689565,-264.2450689776702
5.0,-356.368177825606,-328.95562365220394
6.0,-381.5255563461241,-507.31244894871486
7.0,-382.63139123304114,-389.26640055454334
8.0,-377.2510926654053,-339.5890026919544
9.0,-378.52834411067136,-388.74635567279995
10.0,-382.12070519127207,-414.45195491667835
11.0,-367.6619186343225,-223.0740530648269
12.0,-362.03247830157073,-300.1086346413009
13.0,-371.12078492707735,-480.1804644331569
14.0,-365.4104058524266,-291.1754778819668
15.0,-366.0690087963874,-375.28945001183797
16.0,-368.11809516985386,-398.85439077185185
17.0,-368.7872417991807,-379.49358786841043
18.0,-367.1950037004301,-340.1269560216693
19.0,-366.604289616309,-355.9714361021295
20.0,-366.9969567006559,-374.4576313032476
21.0,-365.6280160870993,-338.2492038159663
22.0,-367.9815467276898,-417.40569018009126
23.0,-363.5846710893277,-266.85340704536065
24.0,-365.63947374347117,-412.89993478877005
25.0,-364.5771327945108,-339.0809500194621
26.0,-361.171535238369,-276.0315963348246
27.0,-363.990673907432,-437.28827930307017
28.0,-366.26019517914636,-427.5372695154348
29.0,-366.0318998957072,-359.63963195941176
30.0,-364.8422590670061,-330.342675034673
31.0,-367.04935387335297,-433.26219806375775
32.0,-367.5600278108948,-383.39091987469055
33.0,-367.0385941328172,-350.35271643433373
34.0,-366.52103767429,-349.4416745428927
35.0,-366.7102577336457,-373.14373975173805
36.0,-365.4910074857043,-322.81724880775704
37.0,-363.5747862085032,-294.59082022926304
38.0,-363.5766955488728,-363.64734114254827
39.0,-361.6760623100093,-289.4519992331945
40.0,-362.5750604140477,-397.6359864715487
41.0,-361.4080352645445,-314.7270292844158
42.0,-358.7252104142978,-248.7293915541835
43.0,-357.68708227660085,-314.0857004933292
44.0,-356.90540779800153,-323.2934052182303
45.0,-357.810416633467,-397.6308053939487
46.0,-356.9078464317803,-316.29218735587784
47.0,-357.934567513776,-405.16373728557954
48.0,-357.7129709308443,-347.29793153305076
49.0,-357.14713107035305,-329.98681776677256
50.0,-355.68461557438735,-284.02135627206883
51.0,-354.8615044927891,-313.70595041287595
52.0,-354.31193691654056,-326.28399052786415
53.0,-353.6625745192356,-319.89572985937707
54.0,-355.65904875041895,-461.47218300313693
55.0,-361.87111571928307,-697.3227320379461
56.0,-362.35183363949767,-388.79131925130037
57.0,-361.5990068247973,-319.4407052015769
58.0,-360.7924752690382,-314.82017659076956
59.0,-360.7024298044969,-355.4797928610997
60.0,-359.8268988993969,-308.1705754984985
61.0,-360.68415630092494,-412.1196003926103
62.0,-359.73188892926095,-301.64357925775863
63.0,-359.4801350625993,-343.87139532957224
64.0,-358.42137927871056,-291.7197648937232
65.0,-357.12833068573894,-274.3732207355555
66.0,-357.53165208461775,-383.747543011736
67.0,-358.1665812097869,-400.07190347095275
68.0,-356.9636841855947,-276.36958356471735
69.0,-356.50877576849484,-325.575003405707
70.0,-356.0402529220991,-323.71217652079645
71.0,-354.3334538718501,-234.85752035442135
72.0,-354.7731491465665,-385.99151365142313
73.0,-354.1934689823863,-312.45649716141634
74.0,-354.36546750642356,-366.92135976113855
75.0,-355.4912449297661,-438.798774257116
76.0,-354.62417390422087,-289.5938469883287
77.0,-356.1811908106222,-474.5144756971218
78.0,-356.55463434870234,-385.30978678087706
79.0,-355.74183324639426,-292.34334726636297
80.0,-355.2791026654505,-318.7233867708943
81.0,-354.1642797170163,-264.97844384228404
82.0,-353.5508436051699,-303.8625185456127
83.0,-353.86163852692573,-379.34682211090114
84.0,-354.1789897964539,-380.519145167293
85.0,-354.2407159278135,-359.4257109620143
86.0,-354.4510095219256,-372.32596502145753
87.0,-353.44511068205173,-266.9378104528994
88.0,-352.4593859174472,-266.7013313968491
89.0,-351.99921834041,-311.5044715611381
90.0,-351.60695329701724,-316.69536443506365
91.0,-351.7820289545386,-367.5388381314581
92.0,-351.766386614968,-350.34293371404056
93.0,-351.91302977138986,-365.40420016220304
94.0,-350.8954808204614,-256.2634283841122
95.0,-351.2061042897715,-380.4047104049241
96.0,-350.22721190073116,-257.23243494189813
97.0,-350.13907040708204,-341.6774870167661
98.0,-350.5507307539655,-390.4817844016619
99.0,-350.17129740768706,-312.98682947240303
100.0,-349.8219961367788,-315.2411703168648
101.0,-349.90163901889207,-357.8659272302175
102.0,-349.49025710276123,-307.94068357354263
103.0,-349.1653126332495,-316.0209767430555
104.0,-348.3346837521189,-262.77990899566794
105.0,-349.0095170547899,-419.1921805325663
106.0,-348.70000498619004,-316.2012377832085
107.0,-347.7747513859589,-249.69786976145116
108.0,-348.0299430348486,-375.3354494660511
109.0,-347.7019265771438,-312.2761491450249
110.0,-347.3630825182781,-310.4290801019175
111.0,-347.09235395591196,-317.31221209563955
112.0,-346.0088287641255,-225.73753247582354
113.0,-345.5381017714372,-292.81667859035076
114.0,-345.8069060513335,-376.1817896796157
115.0,-345.5920840960951,-321.1023811989231
116.0,-345.68174126418745,-355.9923155948054
117.0,-345.4515413779514,-318.74835457456936
118.0,-345.0430122842631,-297.24510832272506
119.0,-344.5414769636436,-285.3603091305479
120.0,-344.3196720041042,-317.92488181891383
121.0,-344.4714334295915,-362.6828044880778
122.0,-344.37783590501795,-333.05253543161234
123.0,-345.473626197622,-479.1600418953225
124.0,-345.81346089487687,-387.61312865721993
125.0,-346.2203246706151,-396.67143286216003
126.0,-346.50347072038755,-381.89672694193433
127.0,-346.95296130088315,-403.5887744433305
128.0,-347.59646827261986,-429.3218536831846
129.0,-347.5695206986712,-344.12023123324616
130.0,-347.8340283416046,-381.9555142800091
131.0,-347.9407053587179,-361.80871758344074
132.0,-348.441796091666,-414.0846821078666
133.0,-348.9937637450891,-421.85349399694235
134.0,-349.77411530930505,-453.56087335002087
135.0,-350.09828082836185,-393.5364603819791
136.0,-350.65487066578544,-425.7944987179711
137.0,-350.63769337204,-348.3015814226586
138.0,-351.1723068639487,-424.41435525543056
139.0,-351.7920283375963,-437.3135917009786
140.0,-351.62491621365456,-328.3963309857412
141.0,-351.8272642947453,-380.1559956474521
142.0,-353.31194357601356,-562.6517222348368
143.0,-353.78993631716287,-421.66490556036945
144.0,-353.6056108400532,-327.2470676133663
145.0,-353.33000938709733,-313.64340016145724
146.0,-353.92020150361805,-439.4980583991185
147.0,-354.45382677897635,-432.36311698129873
148.0,-354.8056558052077,-406.5245226612082
149.0,-355.18046400814507,-410.65207804287786
150.0,-355.01184874630263,-329.88817473177335
151.0,-355.5034159626032,-429.23849840769543
152.0,-355.427669488601,-343.98995191426945
153.0,-355.41639350910276,-353.7024446253665
154.0,-355.8989717605772,-429.73344423616356
155.0,-356.2039582747457,-403.17188145669644
156.0,-356.07355502746844,-335.8610516994959
157.0,-356.1443161258557,-367.18304747426885
158.0,-356.21276561126734,-366.9593348209055
159.0,-356.0809961665144,-335.261423895543
160.0,-356.1714624693051,-370.5556046130136
161.0,-356.90328049506473,-473.9941646166146
