episode,average_reward,reward
1.0,-543.2262039416049,-543.2262039416049
2.0,-484.41506488927666,-425.60392583694846
3.0,-479.1488192856165,-468.6163280782963
4.0,-477.3963856211846,-472.1390846278889
5.0,-443.9127981309396,-309.97844816995973
6.0,-442.5357449597612,-435.6504791038693
7.0,-438.78861804347696,-416.30585654577146
8.0,-439.5415345389531,-444.81195000728565
9.0,-450.7034545770438,-539.9988148817692
10.0,-470.4447020785039,-648.1159295916455
11.0,-467.17611146478396,-434.49020532758436
12.0,-461.14352991529626,-394.78513287093085
13.0,-464.30208599343354,-502.2047589310811
14.0,-465.5741191580074,-482.1105502974682
15.0,-462.6260170990295,-421.35258827333854
16.0,-455.2199453440025,-344.1288690185975
17.0,-463.835323507858,-601.6813741295464
18.0,-466.78765371926806,-516.9772673132386
19.0,-473.9699724561161,-603.2517097193822
20.0,-475.94822841323247,-513.5350915984432
21.0,-489.85095299772297,-767.9054446875323
22.0,-544.1925017497101,-1685.3650255414395
23.0,-542.0663737894346,-495.2915586633727
24.0,-542.6950647503621,-557.1549568516939
25.0,-542.7226728225535,-543.3852665551459
26.0,-540.0578483028064,-473.43723530913
27.0,-537.3473752698866,-466.8750764139728
28.0,-536.2905637159063,-507.75665175843807
29.0,-539.7924526875586,-637.8453438938207
30.0,-538.4011504290703,-498.05338493290935
31.0,-537.7238181706564,-517.4038504182424
32.0,-532.7443779407158,-378.38173081255655
33.0,-534.5724832914184,-593.0718545139041
34.0,-531.3199289181929,-423.98563460174853
35.0,-529.928584015622,-482.6228573282177
36.0,-540.2565655680571,-901.7359199032832
37.0,-539.9664049292791,-529.5206219332695
38.0,-538.9211421730985,-500.24642019441853
39.0,-537.6602740706388,-489.74728617717255
40.0,-540.714841543748,-659.8429729949953
41.0,-535.9616307260773,-345.8331980192487
42.0,-534.2053658864595,-462.19850746213405
43.0,-532.195305190331,-447.77275595293736
44.0,-533.1330752332061,-573.45718707683
45.0,-532.1597045960108,-489.33139655941676
46.0,-529.9231973493974,-429.2803712517948
47.0,-533.974520203715,-720.3353715023212
48.0,-533.3426107526465,-503.64286655243643
49.0,-534.0481513226079,-567.9140986807533
50.0,-534.1910578177773,-541.1934760810766
51.0,-533.184816721194,-482.8727618920328
52.0,-531.5328973741125,-447.28501067295576
53.0,-533.1774630913565,-618.6948803880406
54.0,-535.7252971411727,-670.7605017814365
55.0,-537.0297173319722,-607.4684076351414
56.0,-539.0241041967835,-648.7153817614038
57.0,-536.7550284426579,-409.68678621163167
58.0,-541.2422806578387,-797.0156569231411
59.0,-541.261171287102,-542.356827784376
60.0,-540.4429255424013,-492.1664266050567
61.0,-540.4824852402905,-542.8560671136447
62.0,-540.352187688582,-532.4040370343675
63.0,-539.9876311677643,-517.3851268770688
64.0,-538.8998663882751,-470.3706852804431
65.0,-538.1650529803038,-491.1369948701388
66.0,-538.0994392593431,-533.8345473968969
67.0,-538.0697997722581,-536.1135936246516
68.0,-535.7002155941558,-376.9380756613035
69.0,-534.878027130488,-478.96921160108286
70.0,-534.9100438152307,-537.1191950624727
71.0,-536.169877429618,-624.3582304367312
72.0,-534.657617342416,-427.28715115106695
73.0,-534.0739624915857,-492.05081323179775
74.0,-532.4945509177983,-417.19750603132184
75.0,-534.205985855326,-660.8521712323845
76.0,-531.9473060591613,-362.54632134680253
77.0,-535.0177004806613,-768.3676765146661
78.0,-537.4048214847811,-721.2131388019981
79.0,-537.5827525700552,-551.461377221428
80.0,-537.8522721636534,-559.1443200579316
81.0,-538.5613884740054,-595.2906933021608
82.0,-537.8217544250674,-477.9113964610942
83.0,-537.8943062736635,-543.8435578585363
84.0,-536.6765527130497,-435.6030071821099
85.0,-536.9657590313474,-561.2590897683549
86.0,-536.5885663107529,-504.52718506022154
87.0,-534.7261935961659,-374.56214014168734
88.0,-533.8900801135544,-461.1482071263537
89.0,-532.9597412504761,-451.08992129958
90.0,-532.4244474115765,-484.7832957495151
91.0,-531.6998234596712,-466.48366778819104
92.0,-532.7607315694447,-629.3033695588396
93.0,-533.1533284100983,-569.2722377502387
94.0,-533.8298288712476,-596.7443717581368
95.0,-533.6560865535852,-517.3243086933176
96.0,-534.2532170311056,-590.9806123955182
97.0,-533.561306783615,-467.1379230245251
98.0,-533.5592184245477,-533.3566475950122
99.0,-534.3794883719684,-614.7659432191991
100.0,-534.4740780365905,-543.8384548341751
101.0,-534.0726599589916,-493.930852199094
102.0,-533.4483681650624,-470.3948969782243
103.0,-532.6667423677659,-452.9409110435213
104.0,-531.4864718682009,-409.91861041300234
105.0,-530.8168239844508,-461.1734440744498
106.0,-529.8402806558016,-427.30323114763576
107.0,-528.7599938100888,-414.24958816452414
108.0,-530.5415829621703,-721.1716222348982
109.0,-530.2585848904408,-499.69479314365344
110.0,-529.5754477020802,-455.11349417077463
111.0,-530.0867854032837,-586.3339325356707
112.0,-531.2004577854456,-654.8180922054046
113.0,-532.4972753704461,-677.7408448905088
114.0,-533.5168007595307,-648.7231697260961
115.0,-532.6523042288959,-434.0996997365284
116.0,-534.3134919742847,-725.3500826939909
117.0,-533.6669932628005,-458.6731427306342
118.0,-535.2681198633652,-722.5999321294389
119.0,-534.2374814895558,-412.6221533800442
120.0,-534.1685675697224,-525.9678111095575
121.0,-534.2556091194251,-544.7005950837417
122.0,-534.3146435239149,-541.4578064671828
123.0,-533.4318747557895,-425.73408504449264
124.0,-533.4109179384576,-530.8332294066281
125.0,-534.9560421195841,-726.551440579278
126.0,-535.2053471059537,-566.3684704021483
127.0,-535.2681795863632,-543.1850721179582
128.0,-535.9271543035888,-619.6169433912564
129.0,-536.0045682472305,-545.9135530333454
130.0,-536.5965809005465,-612.9662131783202
131.0,-538.4461798455194,-778.8940426919908
132.0,-538.5096734255494,-546.8273324094868
133.0,-538.7623172243168,-572.1112986616023
134.0,-538.7625694316398,-538.7961130056043
135.0,-539.1874168932126,-596.1169767439543
136.0,-539.3482968668117,-561.0670933026958
137.0,-538.4587006843448,-417.4736198688472
138.0,-537.1874651722485,-363.02820001504574
139.0,-537.7529208398832,-615.7858029734916
140.0,-538.3072625345275,-615.3607580900733
141.0,-538.2150635894277,-525.3072112754564
142.0,-538.5323698844556,-583.2725574833925
143.0,-540.1423808525244,-768.7639383182898
144.0,-540.9666072462946,-658.8309815554412
145.0,-541.1300106135625,-564.6600955001232
146.0,-541.1394586432478,-542.5094229476471
147.0,-541.5755764647348,-605.2487784018138
148.0,-542.4398140920923,-669.4827453136533
149.0,-542.1633351566066,-501.2444527047387
150.0,-544.2092040072492,-849.0436627529851
151.0,-544.5105856161024,-589.7178269440803
152.0,-545.1985591719496,-649.0825661048666
153.0,-545.7611824725844,-631.2799241690768
154.0,-545.5262687922287,-509.58447569782567
155.0,-546.9344797494751,-763.7989671654105
156.0,-548.13687127387,-734.5075575550868
157.0,-548.5896385420679,-619.2213323809102
158.0,-550.0414992097315,-777.9836240329221
159.0,-550.0589143969261,-552.810513973676
160.0,-550.9249726709073,-688.6282382339343
161.0,-550.4591807647889,-475.93247578584163
162.0,-549.7394972469245,-433.8704508707619
163.0,-551.3154249486078,-806.6157126212961
