episode,average_reward,reward
1.0,-427.35026961241005,-427.35026961241005
2.0,-360.77830489994767,-294.20634018748535
3.0,-360.22083017290134,-359.10588071880886
4.0,-359.82209023433956,-358.62587041865413
5.0,-333.63758404102344,-228.89955926775895
6.0,-334.49522245487816,-338.78341452415157
7.0,-330.1463593847512,-304.0531809639896
8.0,-331.254358719793,-339.01035406508527
9.0,-340.220681742803,-411.951265926883
10.0,-350.0040957414002,-438.05482172877527
11.0,-348.8087843715993,-336.8556706735899
12.0,-344.01053255098344,-291.22976252420926
13.0,-350.5867963872481,-429.50196242242384
14.0,-355.0924520158931,-413.66597518827814
15.0,-352.0505269204878,-309.46357558481395
16.0,-350.9268959869156,-334.0724319833331
17.0,-359.12400575199297,-490.2777619932301
18.0,-362.031035735593,-411.45054545679363
19.0,-357.4884640252031,-275.7221732381847
20.0,-362.25639605399425,-452.84710460102656
21.0,-363.5056236860108,-388.4901763263416
22.0,-362.092863604512,-332.4249018930378
23.0,-362.53225080293663,-372.1987691682783
24.0,-364.68216048685673,-414.13008321702017
25.0,-367.83769213395345,-443.5704516642745
26.0,-369.9313296799252,-422.2722683292188
27.0,-374.05851551644184,-481.365347265874
28.0,-372.2272413244586,-322.7828381409108
29.0,-377.07583241427585,-512.8363829291601
30.0,-377.1659525137277,-379.77943539783087
31.0,-375.8500805139894,-336.3739205218386
32.0,-376.70915853823885,-403.34057728997107
33.0,-374.05732749103595,-289.19873398054443
34.0,-374.55822457816794,-391.08782845352346
35.0,-372.89660467520633,-316.4015279745105
36.0,-374.31302881442747,-423.88787368716874
37.0,-373.5918636347797,-347.62991716745944
38.0,-371.5454432792197,-295.8278901234993
39.0,-371.8394312362633,-383.0109736039193
40.0,-372.2344312953509,-387.63943359976764
41.0,-372.6693484405676,-390.0660342492361
42.0,-372.8057644688218,-378.39882162724416
43.0,-373.45880685091015,-400.8865868986194
44.0,-373.5252513390438,-376.38236432879097
45.0,-372.9329414189176,-346.8713049333677
46.0,-371.674516619091,-315.0454006268903
47.0,-368.59676425636576,-227.02015557100532
48.0,-367.8260575354557,-331.6028416526809
49.0,-367.23318430482124,-338.77526923436676
50.0,-366.3154824845449,-321.34809329100295
51.0,-366.3665455458581,-368.9196986115211
52.0,-368.345052428573,-469.24890344703454
53.0,-368.46622948709563,-374.7674365302691
54.0,-369.3627792864291,-416.87991865110394
55.0,-368.88373816125227,-343.0155174017056
56.0,-370.9460290157693,-484.37202601420404
57.0,-370.14657027814235,-325.3768809710338
58.0,-371.1510425155994,-428.4059600506498
59.0,-369.832608629238,-293.3634432202782
60.0,-370.39436141340684,-403.5377756793683
61.0,-371.55685593297517,-441.3065271070733
62.0,-371.1685215142439,-347.4801219716355
63.0,-372.24311751716573,-438.86806969832173
64.0,-371.87485777987706,-348.6744943306947
65.0,-373.08634438649364,-450.6214872099565
66.0,-372.46828663059426,-332.29453249713407
67.0,-372.417858302975,-369.0895886801049
68.0,-372.7755243636325,-396.73915042768635
69.0,-374.09148424795677,-463.5767563820069
70.0,-373.75604299644846,-350.6105966423753
71.0,-373.1275627725006,-329.1339470961518
72.0,-373.18232877293644,-377.0707148038747
73.0,-373.21669946215275,-375.6913890857263
74.0,-373.800780125092,-416.4386685196533
75.0,-373.6372800749672,-361.53827636573214
76.0,-372.65336989167434,-298.86010614471235
77.0,-372.0113441228359,-323.2173856911146
78.0,-370.7815513801444,-276.08751019289895
79.0,-369.9854594268198,-307.89028706750116
80.0,-368.8933801033204,-282.61911354686924
81.0,-367.8489245272246,-284.2924784395619
82.0,-367.8128689717059,-364.89236897468857
83.0,-366.17881493363893,-232.18638381215132
84.0,-364.9639600697563,-264.13100636749573
85.0,-363.7499201431725,-261.7705663101331
86.0,-362.75359110217596,-278.06562261746785
87.0,-362.69711023131345,-357.83975533713794
88.0,-362.2850593156373,-326.43662965181045
89.0,-361.6292104852042,-303.91451340709244
90.0,-361.22199120849393,-324.97947558127487
91.0,-360.47894488587957,-293.6047758505865
92.0,-359.1575374731012,-238.90946291027146
93.0,-358.3007790469476,-279.479003840816
94.0,-357.0679106858979,-242.4111531082741
95.0,-356.28634374460205,-282.8190512627908
96.0,-356.0640850987044,-334.94951373843867
97.0,-354.822069928856,-235.58861362340826
98.0,-353.9143291214045,-265.863470798605
99.0,-352.7649787319175,-240.12864056219402
100.0,-351.82719419780153,-258.9865253203194
101.0,-351.5421992748009,-323.0427069747407
102.0,-350.85322927251354,-281.26725904149663
103.0,-349.87226656797543,-249.8140707050872
104.0,-349.2398175072752,-284.09756425514513
105.0,-348.5472424578135,-276.5194373137965
106.0,-348.20036354150403,-311.7780773290096
107.0,-347.5625792837271,-279.9574479593688
108.0,-347.5857442009214,-350.06439034070974
109.0,-346.6186456238041,-242.17199929514032
110.0,-345.6001530407448,-234.58446148727415
111.0,-344.70450928531886,-246.18369618847038
112.0,-344.22738933293476,-291.2670746183103
113.0,-343.4285126108017,-253.95431973190352
114.0,-342.8509070226268,-277.58147555886615
115.0,-341.63529810182183,-203.05588113005055
116.0,-340.7636834353282,-240.52799678856138
117.0,-339.8165491616302,-229.94897341265914
118.0,-339.38486708176714,-288.87806373779017
119.0,-338.92235624635856,-284.346077668146
120.0,-337.8432809196757,-209.4333170444064
121.0,-337.7318091751605,-324.3551998333321
122.0,-337.1526277567457,-267.0716761285611
123.0,-336.48093199078335,-254.53404854337433
124.0,-336.03654081248374,-281.37642588163345
125.0,-335.35099707629684,-250.34357378912136
126.0,-334.33075622834536,-206.800650234411
127.0,-333.7268707402874,-257.6372992449749
128.0,-333.8471590649141,-349.12377629251034
129.0,-333.6523820588957,-308.7209252885445
130.0,-332.9821703374529,-246.52485827133313
131.0,-332.11975608065563,-220.00590269700908
132.0,-331.43534746175567,-241.7778183858651
133.0,-331.30839823754695,-314.55110064199107
134.0,-332.41493883378376,-479.58483813327837
135.0,-331.8464129926531,-255.66395028114187
136.0,-332.5332833511477,-425.2607817479179
137.0,-333.0995775771244,-410.11559230995795
138.0,-332.44542561086234,-242.8266062329658
139.0,-331.8228717115745,-245.91043360985358
140.0,-331.3974273013171,-272.2606542755428
141.0,-331.04837436753394,-282.18096363787873
142.0,-330.42068508270415,-241.9164959217086
143.0,-330.028165983899,-274.290453953563
144.0,-329.62661483007525,-272.2047998332787
145.0,-329.31148838186476,-283.93327983955294
146.0,-329.18176916168386,-310.37248223546374
147.0,-328.93273207085304,-292.5733168095437
148.0,-328.8073671129071,-310.378718294862
149.0,-329.1373077688553,-377.9685248491867
150.0,-328.7193428057826,-266.4425633079452
151.0,-328.6502244488253,-318.28247090523763
152.0,-328.08473819257625,-242.69631349896238
153.0,-327.7850274796893,-282.22899912087684
154.0,-327.4709910889145,-279.4234233003648
155.0,-327.2007082295548,-285.57714788815287
156.0,-327.0710202874974,-306.9693892686097
157.0,-326.8489322768271,-292.2032026122638
158.0,-326.8578323571083,-328.25514496125464
159.0,-326.45045095275105,-262.08418906430495
160.0,-326.18158729293117,-283.43226538157694
161.0,-325.66744464589175,-243.4046211195817
162.0,-325.28751972034087,-264.11960670664894
163.0,-324.9986593175201,-278.203274060559
164.0,-324.8083954027956,-293.7953773027066
165.0,-324.7850136463581,-320.95040559060345
166.0,-324.78796275295184,-325.2745653409139
167.0,-324.7747436393483,-322.5803707811544
168.0,-324.6629378609529,-305.9913728689309
169.0,-324.67862559403795,-327.31416475232527
170.0,-324.38098689561446,-274.0800468620474
171.0,-324.1917461633378,-292.02082167630675
172.0,-324.3570156718611,-352.61810162935126
173.0,-323.98992002964144,-260.8494695678455
174.0,-324.1091854582787,-344.7421046125244
175.0,-324.31003879685693,-359.25851970947735
176.0,-324.7694892026731,-405.1733102205009
177.0,-324.9158171711504,-350.66953962315995
178.0,-324.90518439745904,-323.023183454088
179.0,-324.83366301213636,-312.1028564246903
180.0,-324.97791089850944,-350.798282559292
181.0,-324.8241612019082,-297.1492158136897
182.0,-325.09193349662576,-373.5587188405025
183.0,-325.4282210642014,-386.6325583629674
184.0,-325.51093387686774,-340.6473785947992
185.0,-325.2029564824827,-268.53511591563876
186.0,-325.19632373228126,-323.9692649450124
187.0,-325.3441657329215,-352.8427778520038
188.0,-325.3251772140059,-321.7743241767999
189.0,-324.8965182325043,-244.30862971019306
190.0,-324.8396708335191,-314.0955124253271
191.0,-325.0912564031797,-372.89251463868914
192.0,-325.16046291953063,-338.3789075425671
193.0,-325.2468047285635,-341.8244320628692
194.0,-325.23301899452855,-322.57237232579075
195.0,-325.3284330865341,-343.8387669356043
196.0,-325.64394576190807,-387.16891745983685
197.0,-325.6872772227666,-334.1802435510396
198.0,-325.6282751979155,-314.00487630223796
199.0,-325.6242184048441,-324.8209733767108
200.0,-325.62364390536453,-325.5093185089328
201.0,-325.42608155064755,-285.9136106072459
202.0,-325.6927032464938,-379.2836641115889
203.0,-325.6569110171261,-318.4268806848506
204.0,-325.8238372697171,-359.7098665456914
205.0,-325.9096031249659,-343.4058375957294
206.0,-325.96744907086764,-337.8258679807186
207.0,-326.0000511183826,-332.7160729064607
208.0,-325.88616157275885,-302.3110256286431
209.0,-325.9296724819542,-334.9799415945895
210.0,-325.92414444583113,-324.768784896103
211.0,-325.8662808249339,-313.71492043651125
212.0,-325.6456039124192,-279.08277537181965
213.0,-325.63118137580085,-322.57360361271515
214.0,-325.3910891172701,-274.25143805021037
215.0,-325.4383161332745,-335.5448975582316
216.0,-325.4635969082607,-330.8989635302957
217.0,-325.5946335258636,-353.89854292809343
218.0,-325.79649707727725,-369.6008877340339
219.0,-325.9522084083696,-359.897278586484
220.0,-326.0058936136465,-337.76295356930643
221.0,-326.07348346036747,-340.94324973898597
222.0,-326.2722860711311,-370.2076630498791
223.0,-326.53347014542607,-384.5163346389185
224.0,-326.18742127135965,-249.0185223545519
