episode,average_reward,reward
1.0,-506.59115042867745,-506.59115042867745
2.0,-554.6697980021611,-602.7484455756448
3.0,-649.8326720376328,-840.1584201085764
4.0,-642.1572728119563,-619.1310751349268
5.0,-684.0019665002407,-851.3807412533779
6.0,-666.5305809261764,-579.1736530558558
7.0,-666.0127857457907,-662.9060146634761
8.0,-648.4324988162048,-525.3704903091034
9.0,-627.3465003688384,-458.6585127899072
10.0,-630.7070050129298,-660.9515468097527
11.0,-618.889982279651,-500.71975494686336
12.0,-608.2365665823867,-491.0489939124793
13.0,-598.471791561623,-481.2944913124592
14.0,-602.8453742454697,-659.7019491354752
15.0,-623.8467428845331,-917.865903831422
16.0,-634.9532091290646,-801.5502027970377
17.0,-636.9283463763124,-668.5305423322783
18.0,-629.261651026544,-498.92783008047945
19.0,-634.4450995170113,-727.7471723454221
20.0,-644.3768881421635,-833.0808720200539
21.0,-647.71303453266,-714.4359623425926
22.0,-656.8609952680737,-848.9681707117588
23.0,-652.3271969183792,-552.5836332250997
24.0,-644.8167811701904,-472.07721896185075
25.0,-640.1034619840358,-526.9838015163228
26.0,-644.5840221208823,-756.5980255420466
27.0,-708.9179059600123,-2381.5988857773928
28.0,-705.2957362429871,-607.4971538833105
29.0,-721.7635119780717,-1182.861232560441
30.0,-716.3666227519409,-559.8568351941476
31.0,-708.5648059424614,-474.5103016580776
32.0,-720.8915001131963,-1103.0190194059737
33.0,-717.9391892730574,-623.4652423886105
34.0,-716.3253167950493,-663.0675250207823
35.0,-709.8712338809565,-490.4324148018029
36.0,-708.273769586552,-652.3625192823945
37.0,-703.3718289769879,-526.9019670326816
38.0,-701.338700352038,-626.1129412288897
39.0,-703.7658591863895,-795.9978948917475
40.0,-700.5745754281166,-576.114508855474
41.0,-701.3789285622362,-733.5530539270172
42.0,-700.2800088354429,-655.2243000369198
43.0,-698.446394244726,-621.4345814346175
44.0,-694.6589876571129,-531.8005043897513
45.0,-693.5575114856825,-645.0925599427446
46.0,-689.0269331131815,-485.1509063506379
47.0,-686.6410036086822,-576.8882464017167
48.0,-683.6545589365272,-543.2916593452312
49.0,-679.5305993168329,-481.58053757150606
50.0,-675.5592635384617,-480.9638103982707
51.0,-674.9733619922289,-645.6782846805866
52.0,-673.7934652312512,-613.6187304213893
53.0,-673.8251806376616,-675.4743817710071
54.0,-670.6463984691768,-502.1709435394783
55.0,-666.6998315425985,-453.5852175073715
56.0,-666.984113556976,-682.6196243477445
57.0,-665.1228550697142,-560.8923797830537
58.0,-665.6854304168838,-697.7522252055594
59.0,-662.2193581232361,-461.1871650916646
60.0,-660.3033671732593,-547.2599011246298
61.0,-660.6483042983328,-681.3445318027425
62.0,-658.1605921017415,-506.41014810967334
63.0,-656.4256526783934,-548.8594084308063
64.0,-654.9504518547686,-562.0127999664112
65.0,-655.2053959507232,-671.5218180918193
66.0,-652.9427157150075,-505.86850039347814
67.0,-650.3478658407864,-479.08777414219963
68.0,-647.72421159326,-471.93937700898977
69.0,-647.4531339570049,-629.0198546916549
70.0,-645.7035854726623,-524.9847400530292
71.0,-644.0214463701061,-526.2717091911657
72.0,-644.7018042359498,-693.0072127108571
73.0,-643.7564865039785,-575.6936098020442
74.0,-641.354463768713,-466.0068040943378
75.0,-645.8631472548615,-979.5057252298417
76.0,-646.6787158161095,-707.846357909712
77.0,-646.9915428901833,-670.7664005197856
78.0,-646.6832728479019,-622.94647959224
79.0,-643.9230781356006,-428.627890576096
80.0,-641.6942365633053,-465.6157523519709
81.0,-642.4269401773952,-701.0432293045922
82.0,-641.7810852130541,-589.4668331014234
83.0,-640.1525491335067,-506.61259061062015
84.0,-639.0343182106286,-546.2211516117427
85.0,-640.5148927670499,-764.8831555064462
86.0,-640.4194154384677,-632.3038425089762
87.0,-639.5097925468347,-561.2822238663953
88.0,-637.7848335085758,-487.7133971800608
89.0,-635.9527682834533,-474.73102847268075
90.0,-635.2100078264571,-569.1043271537876
91.0,-635.0570917359481,-621.2946435901376
92.0,-635.5704993575407,-682.2905929224646
93.0,-634.4409133212984,-530.5189979870074
94.0,-632.1634224981851,-420.3567759486526
95.0,-630.8569208512467,-508.0457660390457
96.0,-629.865886577314,-535.7176305536984
97.0,-628.336239756201,-481.4901449293509
98.0,-626.8478901904728,-482.47798231483114
99.0,-628.2145212987908,-762.144369913959
100.0,-627.2712975640201,-533.8921478217137
101.0,-627.3362403740214,-633.8305213741481
102.0,-626.473853601811,-539.3727896085682
103.0,-624.4138916508846,-414.29777265639285
104.0,-623.3135432342635,-509.9776563222963
105.0,-621.6944028355545,-453.303801369813
106.0,-620.5386840896075,-499.18821576518195
107.0,-620.1824680353506,-582.4235662841099
108.0,-619.3532187548001,-530.6235457359033
109.0,-618.7626398523339,-554.9801183859844
110.0,-618.3622267174147,-574.7171950112208
111.0,-616.92920185159,-459.2964666108694
112.0,-615.973009163558,-509.83562079200044
113.0,-615.8398721208647,-600.9285233392108
114.0,-614.0859288834268,-415.8903430529628
115.0,-613.5045767590987,-547.2304345856759
116.0,-612.6250733707325,-511.48218370862503
117.0,-612.488405982162,-596.63498890798
118.0,-611.5143915940356,-497.5547081832443
119.0,-611.3246058749223,-588.9298910195512
120.0,-611.3475181877624,-614.0740834157423
121.0,-610.9621427875956,-564.7170947675822
122.0,-610.9243843230015,-606.3556101071147
123.0,-610.9513429326579,-614.2402933107315
124.0,-610.4387766201879,-547.3931201863876
125.0,-610.0265057303797,-558.9049153941445
126.0,-609.4084518725236,-532.1517196405325
127.0,-608.4694432287511,-490.15435411340763
128.0,-607.9469852648156,-541.5948238450063
129.0,-607.0054609723023,-486.4903515306068
130.0,-607.1299863692118,-623.1937625705286
131.0,-606.6466776386774,-543.8165426691965
132.0,-607.1598954110309,-674.3914235893445
133.0,-607.7906567874084,-691.0511584692416
134.0,-606.814073786013,-476.92853460042744
135.0,-606.4725222905666,-560.7046219007593
136.0,-605.5845739979351,-485.7115544926827
137.0,-605.6480463791884,-614.2802902296348
138.0,-605.351947271164,-564.7863694718379
139.0,-605.1589487004447,-578.5251459411652
140.0,-604.5605652074897,-521.3852596867365
141.0,-604.6645502276045,-619.2224530436955
142.0,-604.6730209997679,-605.8673998748058
143.0,-604.0653171380994,-517.7713687811681
144.0,-603.6498769212708,-544.241925914762
145.0,-602.3368734230875,-413.26436968470375
146.0,-601.5783194566643,-491.58799432530606
147.0,-600.6478423498036,-464.7981847481223
148.0,-600.1605749546534,-528.5322678676034
149.0,-599.8272041913883,-550.4883312281502
150.0,-600.2372660184425,-661.3364782494937
151.0,-599.4359499541498,-479.2385403102612
152.0,-598.5590862201932,-466.1526623927518
153.0,-597.9149867562353,-500.0118682346415
154.0,-597.5601475936791,-543.2697557225575
155.0,-597.3076230629988,-558.4188453382411
156.0,-597.3255934106154,-600.1109972911952
157.0,-596.2828219098018,-433.6104677828728
158.0,-596.9064442512284,-694.815151855214
159.0,-597.0508438575288,-619.8659816529898
160.0,-595.9149475160781,-415.30742922540014
161.0,-595.8259009182535,-581.5784452663224
162.0,-595.2937384226426,-509.6155766292858
163.0,-595.449790508431,-620.7302284061578
164.0,-595.2433953378182,-561.6009825279373
165.0,-594.4821470323366,-469.6374249333419
166.0,-594.6148968220504,-616.5186121248171
167.0,-594.3188004349797,-545.1668001812602
168.0,-594.1684995071727,-569.068244563394
169.0,-593.0455728873812,-404.3939007624278
170.0,-592.7197846163032,-537.6615668041084
171.0,-592.3300552136716,-526.0760567662958
172.0,-591.8929958697425,-517.1558480578748
173.0,-591.7069600703973,-559.7088025830186
174.0,-591.7024142699108,-590.9159907857431
175.0,-591.5183263022025,-559.4870199209461
176.0,-591.3200836964658,-556.6276276925485
177.0,-590.2446949529203,-400.9762760889343
178.0,-589.2073907096802,-405.6045396561685
179.0,-589.3509456481514,-614.9037246960264
180.0,-589.0332074293203,-532.1580662585559
181.0,-589.0866897625787,-598.713509749083
182.0,-588.4982475234327,-481.9902022380134
183.0,-588.3240435698743,-556.618924022268
184.0,-587.7623600997778,-484.9742850720786
185.0,-587.8975501865531,-612.7725261532344
186.0,-587.4564853897997,-505.8594979904326
187.0,-588.0294101416399,-694.5934139839089
188.0,-587.7451079202549,-534.5805925212445
189.0,-587.7367107512862,-586.1580429851613
190.0,-587.0795979287838,-462.88527447583743
191.0,-586.6444849476344,-503.9730185292649
192.0,-586.5193068224224,-562.6102849069367
193.0,-587.1653080175099,-711.1975374743024
194.0,-586.9665764719342,-548.611388175826
195.0,-586.7231555654201,-539.4994997016698
196.0,-586.9083033217815,-623.012115812254
197.0,-586.4486602800731,-496.3586241052433
198.0,-586.3720493996838,-571.2797059629681
199.0,-586.0856578807206,-529.380137126017
200.0,-585.9393297748,-556.8200366966114
201.0,-585.5619350820183,-510.0829965256636
202.0,-584.9456289929356,-461.0681050873011
203.0,-585.1250257137866,-621.363163325721
204.0,-585.3267595905442,-626.2787365723256
205.0,-585.2205228318808,-563.5482240645554
206.0,-584.9077525083787,-520.7898361904463
207.0,-584.6700837016402,-535.7103095135128
208.0,-584.557173103283,-561.1846792433291
209.0,-584.4875611807895,-570.0082813021311
210.0,-584.1188071748493,-507.0492199333636
211.0,-583.4690821657165,-447.0268302478206
212.0,-583.9703613745685,-689.7402744423443
213.0,-583.960506782773,-581.8713333221151
214.0,-583.7706706001825,-543.3355637084064
215.0,-584.159573826106,-667.3848641737181
216.0,-583.9632503759598,-541.7537085945448
217.0,-584.355411786369,-669.0622764347634
218.0,-583.8377710557403,-471.5097325092949
219.0,-584.1171080349746,-645.0125695080949
220.0,-583.8757337269042,-531.0147602594586
221.0,-584.0880809694645,-630.8044743327278
222.0,-584.2476370012474,-619.5095200252873
223.0,-584.3515527903195,-607.4208579643127
224.0,-584.154596931142,-540.2334403345739
225.0,-584.2654327624476,-609.0926589749021
226.0,-584.4642154884958,-629.1903288493277
227.0,-584.3108395837772,-549.6478851173904
228.0,-584.1630980551147,-550.6257710487107
229.0,-584.212335977401,-595.4385822586667
230.0,-584.0357119724558,-543.5888148400268
231.0,-584.0717674966351,-592.3645380578616
232.0,-583.9019626671632,-544.6770470591425
233.0,-584.0169485436774,-610.6936718949563
234.0,-583.6210387739254,-491.37406242172267
235.0,-583.1477025137397,-472.38701763028746
236.0,-583.1972714311803,-594.8459670297123
237.0,-583.378216790884,-626.0813216809811
238.0,-583.7266211524759,-666.2984548497486
239.0,-584.1279173651566,-679.636415983145
240.0,-584.0200421379255,-558.2378628297297
241.0,-583.7889697199092,-528.331589395986
242.0,-583.9052965059947,-611.9400519525929
243.0,-583.6725312015765,-527.3433275323985
244.0,-583.553155085654,-554.5447589164594
245.0,-583.5266521634434,-577.059939144059
246.0,-583.6184142311178,-606.100120811341
247.0,-583.8847040799758,-649.3920068990301
248.0,-583.8846593197802,-583.8736035514837
249.0,-583.7584687201853,-552.4632000206423
250.0,-583.6538096372099,-557.5936979763449
251.0,-583.4275068981641,-526.8518221367298
252.0,-583.3615361560394,-566.8028798827185
253.0,-583.2915330307154,-565.6507454490685
254.0,-583.3116651890494,-588.4051012475757
255.0,-583.1842482491312,-550.82034550987
256.0,-583.1574128314476,-576.3143813221468
257.0,-583.2551758043313,-608.2824968625566
258.0,-583.0190394467623,-522.3319955515415
259.0,-582.691315097703,-498.13843304039096
260.0,-582.7145986640344,-588.7450423438587
261.0,-582.6561793769043,-567.4671647231221
262.0,-582.5733699666259,-560.9601138839336
263.0,-582.6233696858849,-595.7232961317419
264.0,-582.6342898623832,-585.506296281435
265.0,-582.9578324361663,-668.3730719149162
266.0,-582.9715723993633,-586.612662646538
267.0,-582.7786365935987,-531.4577122602245
268.0,-582.9896845154326,-639.3394796450912
269.0,-583.1398908780828,-623.3951960683307
270.0,-583.2207570957652,-604.9737696523044
271.0,-583.2735958393336,-597.5400566028013
272.0,-583.7426267713925,-710.8500093593859
273.0,-584.1901412996684,-705.9140929907068
274.0,-584.2162900493125,-591.3548987021828
275.0,-584.159182685285,-568.5117649417338
276.0,-584.4769789566761,-671.8709535892557
277.0,-584.6252340092552,-625.5436285210385
278.0,-584.662688923976,-595.0377003016388
279.0,-585.0373104953177,-689.1821073283054
280.0,-585.3005876734837,-658.7549203818243
281.0,-585.7663469001088,-716.178930355135
282.0,-586.1268514403314,-687.428627242866
283.0,-586.3933639565637,-661.5498935340717
284.0,-586.6861270495767,-669.5380823722955
285.0,-586.7840429129154,-614.5921481011137
286.0,-586.7128298397035,-566.4171039742756
287.0,-586.6877693373789,-579.520465672555
288.0,-586.8249549083058,-626.1972137643054
289.0,-587.3167328454441,-728.948778741277
290.0,-587.1314143820573,-533.5743784632641
291.0,-586.8914727830719,-517.3084090773237
292.0,-587.4253083102312,-742.7714467135697
293.0,-586.7366506576537,-385.6486161050559
294.0,-586.5374406761231,-528.1689160876394
295.0,-586.8069725634242,-666.0493474299406
296.0,-587.0541376545251,-659.9678395293123
297.0,-587.9459458710813,-851.921177971724
298.0,-587.9125302110717,-577.9880791882209
299.0,-588.0875910818044,-640.2557305600967
300.0,-587.8136589422446,-505.9079492139119
