episode,average_reward,reward
1.0,-331.6994114047575,-331.6994114047575
2.0,-425.15329368321557,-518.6071759616736
3.0,-409.6638325890485,-378.68491040071456
4.0,-398.39034386170954,-364.5698776796926
5.0,-398.89476331679833,-400.9124411371537
6.0,-402.23493472114774,-418.9357917428948
7.0,-397.0786970119726,-366.14127075692227
8.0,-391.63257881124764,-353.5097514061723
9.0,-407.8590263262057,-537.6706064458704
10.0,-408.2750408546367,-412.01917161051574
11.0,-411.6126846611074,-444.9891227258136
12.0,-407.0715901459468,-357.1195504791806
13.0,-409.73542211265243,-441.70140571312004
14.0,-400.21826135570393,-276.49517151537424
15.0,-437.054163955552,-952.7568003534238
16.0,-442.2336252011288,-519.9255438847813
17.0,-433.10033249445524,-286.96764918767803
18.0,-433.6920606130641,-443.7514386294142
19.0,-437.5190343872396,-506.4045623223993
20.0,-425.3526756194939,-194.19185903232477
21.0,-428.90595673558977,-499.9715790575085
22.0,-427.26100878914934,-392.7171019139001
23.0,-428.0588815605109,-445.61208253046493
24.0,-426.92876071248344,-400.93598120785316
25.0,-423.9238705712298,-351.80650718114305
26.0,-426.1245485434075,-481.14149784784956
27.0,-421.73610629492754,-307.6366078344472
28.0,-425.7393698690908,-533.8274863714992
29.0,-421.3479584762801,-298.38843947758
30.0,-421.87530070203337,-437.16822524887976
31.0,-424.56101868447587,-505.13255815775096
32.0,-423.4430395361418,-388.7856859377818
33.0,-423.1721174058226,-414.5026092356071
34.0,-420.22650506767746,-323.0212979088901
35.0,-414.645402490341,-224.88791486089895
36.0,-411.7949986506946,-312.03086426307203
37.0,-414.7516030397097,-521.1893610442523
38.0,-415.26360521228526,-434.2076855975803
39.0,-415.9956224165839,-443.8122761799313
40.0,-432.1263845523052,-1061.226107845438
41.0,-432.7738949199933,-458.6743096275204
42.0,-429.1802468003149,-281.84067389349855
43.0,-425.7670464708048,-282.4126326313821
44.0,-423.9338032860913,-345.104346343412
45.0,-422.12801748844754,-342.67344239212105
46.0,-422.175466917471,-424.31069122352636
47.0,-419.4975631188734,-296.3139883833846
48.0,-422.0836809332891,-543.6312182108254
49.0,-420.64481505061855,-351.5792526824335
50.0,-421.47444730805915,-462.1264279226506
51.0,-421.18243199238776,-406.58166620881786
52.0,-420.04838628445356,-362.2120551798058
53.0,-418.3919185262349,-332.2555950988672
54.0,-418.1161761236495,-403.50182878662133
55.0,-418.2121705032036,-423.3958669991207
56.0,-418.67149274524854,-443.9342160577242
57.0,-418.372801286683,-401.6460796070122
58.0,-429.32061090427675,-1053.3457591071199
59.0,-429.42756846195687,-435.63110680740215
60.0,-429.9135106682704,-458.58410084076945
61.0,-427.6729169372309,-293.23729307485917
62.0,-428.3175948411326,-467.6429469791357
63.0,-428.4917919909085,-439.29201527701304
64.0,-429.6646600438247,-503.5553473775508
65.0,-430.23831377538994,-466.9521525955654
66.0,-430.60681600818066,-454.5594611395792
67.0,-431.2330975456575,-472.567679019123
68.0,-428.2097563664713,-225.64589736099876
69.0,-428.4698227853867,-446.1543392716347
70.0,-428.77647867101024,-449.9357347790349
71.0,-427.24992709425845,-320.391316721629
72.0,-427.0442775785189,-412.4431619610172
73.0,-427.58035203265075,-466.1777127301442
74.0,-426.343344145324,-336.0417683704675
75.0,-427.08291159159813,-481.8109026158862
76.0,-426.23136658569894,-362.3654911432568
77.0,-426.5294799940427,-449.1860990281653
78.0,-427.8134753300356,-526.6811162014901
79.0,-429.26490216775306,-542.4761955097127
80.0,-428.78258217445756,-390.679302704119
81.0,-429.51451452802587,-488.06910281348974
82.0,-428.7800542215978,-369.288769400923
83.0,-428.7914980814682,-429.7298945908376
84.0,-428.5752515538302,-410.62678975987365
85.0,-427.7480501421379,-358.2631315599894
86.0,-426.5392090402169,-323.78771537693683
87.0,-426.6269529485733,-434.17292906722264
88.0,-425.159333399487,-297.4764326289762
89.0,-423.4964383224951,-277.16167154720597
90.0,-422.7938947242881,-360.26751448386347
91.0,-421.77519572300366,-330.0922856074059
92.0,-421.38094724239346,-385.50433550686574
93.0,-420.3429819641128,-324.85017636229753
94.0,-420.77104068450114,-460.5805016806117
95.0,-420.3221870425861,-378.129944702574
96.0,-420.5332620007769,-440.5853830289096
97.0,-420.3780715925463,-405.4797924024052
98.0,-420.43070187631935,-425.53583940230317
