episode,average_reward,reward
1.0,-18.946437056176364,-18.946437056176364
2.0,-19.451304821998928,-19.95617258782149
3.0,-19.697597057032784,-20.190181527100503
4.0,-19.60982659844594,-19.346515222685415
5.0,-19.641515681977616,-19.768272016104312
6.0,-19.607245416606503,-19.43589408975095
7.0,-19.63770618434147,-19.82047079075128
8.0,-19.611718302808733,-19.42980313207954
9.0,-19.651492871225734,-19.969689418561757
10.0,-19.656148219206955,-19.698046351037917
11.0,-19.66495284712768,-19.752999126334906
12.0,-19.670730723730717,-19.73428736636415
13.0,-19.665495453555533,-19.60267221145332
14.0,-19.651993533366063,-19.476468570902945
15.0,-19.683897458646292,-20.130552412569525
16.0,-19.659024218373087,-19.28592561427504
17.0,-19.678854458348788,-19.996138297959988
18.0,-19.729104163546598,-20.583349151909353
19.0,-19.728395487100737,-19.71563931107521
20.0,-19.733339136579673,-19.827268476679457
21.0,-19.75553941823954,-20.19954505143687
22.0,-19.74769754884057,-19.58301829146221
23.0,-19.759234910625675,-20.013056869897994
24.0,-19.773529570679056,-20.102306751906873
25.0,-19.77329411662492,-19.76764321932569
26.0,-19.77508280147701,-19.819799922779204
27.0,-19.786446459356238,-20.081901564216246
28.0,-19.797706523487168,-20.101728255022316
29.0,-19.78603257388945,-19.459161985153333
30.0,-19.78688154850412,-19.811501812329517
31.0,-19.794438638602944,-20.021151341567748
32.0,-19.788033526377923,-19.589475047402086
33.0,-19.782102502137647,-19.59230972644873
34.0,-19.777150467690294,-19.61373333092779
35.0,-19.78465087015735,-20.039664554037152
36.0,-19.785989021162138,-19.832824306329712
37.0,-19.78033338987376,-19.576730663492345
38.0,-19.788315225802677,-20.083643155172467
39.0,-19.781195690280658,-19.51065334044397
40.0,-19.793839929852002,-20.286965273134413
41.0,-19.803131091698795,-20.17477756557055
42.0,-19.791617417822966,-19.319556788913907
43.0,-19.78696982050927,-19.591770733334123
44.0,-19.783381431496508,-19.629080703947693
45.0,-19.773533893301728,-19.34024221273139
46.0,-19.77241009325564,-19.721839091181756
47.0,-19.771830442543497,-19.74516650978476
48.0,-19.780270702789284,-20.176962934341283
49.0,-19.77253160973104,-19.401055142935366
50.0,-19.77632348530335,-19.962125388346614
51.0,-19.781190331082698,-20.024532620050014
52.0,-19.776744434306124,-19.55000369870104
53.0,-19.786797788333864,-20.30957219777629
54.0,-19.787550057924953,-19.82742034625262
55.0,-19.799327616902115,-20.435315801668914
56.0,-19.796065146652865,-19.616629282943904
57.0,-19.791655125918012,-19.54469396476634
58.0,-19.782276856486316,-19.24771549887955
59.0,-19.772632808807057,-19.213278043409808
60.0,-19.766480074289458,-19.403468737751247
61.0,-19.770412443204695,-20.00635457811877
62.0,-19.778018643713168,-20.241996874730106
63.0,-19.765278943261578,-18.97541751526296
64.0,-19.763115589680204,-19.6268243140541
65.0,-19.754557990545088,-19.206871645897625
66.0,-19.75683125656772,-19.904593548038974
67.0,-19.75297850171469,-19.498696681414735
68.0,-19.747307459250717,-19.367347614164466
69.0,-19.748363938609888,-19.820204535033554
70.0,-19.74990048717784,-19.855922338366508
71.0,-19.74937438912188,-19.71254752520472
72.0,-19.748137655786415,-19.66032958896831
73.0,-19.7479218178334,-19.73238148521632
74.0,-19.750294224412993,-19.923479904723354
75.0,-19.75170137289331,-19.855830360436812
76.0,-19.751531918448993,-19.738822835125028
77.0,-19.747292933219764,-19.425130055798217
78.0,-19.740943409065892,-19.252030049217865
79.0,-19.75019905443955,-20.472139393584804
80.0,-19.74455873462817,-19.2989734695293
81.0,-19.74077316918908,-19.437927934061737
82.0,-19.741227605862992,-19.778036976449947
83.0,-19.746778128687353,-20.201921000285076
84.0,-19.742217238789173,-19.3636633772403
