shared_value,train_episodes,average_reward,best_reward,best_eval_rmse,best_eval_mae,best_eval_velocity_rmse,best_eval_score,checkpoint_path,best_checkpoint_path,output_dir
1,500,-19.83140148549126,-19.017331156175352,0.05820892584812713,0.05137604839975548,0.20653078029600372,0.11749669884724229,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_1\train\ladrc_x_pos_pid_att\x\20260412_133534\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_1\train\ladrc_x_pos_pid_att\x\20260412_133534\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_1\train\ladrc_x_pos_pid_att\x\20260412_133534
2,500,-23.26879304805046,-18.74174479702488,0.05565136037563211,0.04900747359583605,0.20301139515984196,0.11340625516614312,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_2\train\ladrc_x_pos_pid_att\x\20260412_133754\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_2\train\ladrc_x_pos_pid_att\x\20260412_133754\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_2\train\ladrc_x_pos_pid_att\x\20260412_133754
3,500,-20.807471775199797,-18.77216290649958,0.05644846242386525,0.049601807634935324,0.20531086090148548,0.11487126727638972,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_3\train\ladrc_x_pos_pid_att\x\20260412_133958\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_3\train\ladrc_x_pos_pid_att\x\20260412_133958\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_3\train\ladrc_x_pos_pid_att\x\20260412_133958
4,500,-19.992559031585905,-19.100942691881208,0.05822416976346438,0.05135475183216543,0.20568088332019957,0.1173345095687622,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_4\train\ladrc_x_pos_pid_att\x\20260412_134152\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_4\train\ladrc_x_pos_pid_att\x\20260412_134152\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_4\train\ladrc_x_pos_pid_att\x\20260412_134152
5,500,-20.34792964904093,-18.600497250445187,0.05555723348889845,0.048727424467375505,0.205855110924964,0.11378285423747267,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_5\train\ladrc_x_pos_pid_att\x\20260412_134344\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_5\train\ladrc_x_pos_pid_att\x\20260412_134344\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_5\train\ladrc_x_pos_pid_att\x\20260412_134344
6,500,-20.144228966495618,-18.86364427311346,0.057851770843080796,0.05109449438142629,0.20407120056103506,0.11654908398878702,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_6\train\ladrc_x_pos_pid_att\x\20260412_134533\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_6\train\ladrc_x_pos_pid_att\x\20260412_134533\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_6\train\ladrc_x_pos_pid_att\x\20260412_134533
7,500,-22.209726775905903,-19.248411114513875,0.058748671565308185,0.05164033238776227,0.21059501950460863,0.11894179180194671,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_7\train\ladrc_x_pos_pid_att\x\20260412_134721\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_7\train\ladrc_x_pos_pid_att\x\20260412_134721\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_7\train\ladrc_x_pos_pid_att\x\20260412_134721
8,500,-19.451832398921766,-18.505963858589528,0.057030032660720494,0.050192406738076296,0.20427677647350442,0.11545273031374809,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_8\train\ladrc_x_pos_pid_att\x\20260412_134908\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_8\train\ladrc_x_pos_pid_att\x\20260412_134908\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_8\train\ladrc_x_pos_pid_att\x\20260412_134908
9,500,-20.02853000739914,-18.737118451332208,0.057839973249335756,0.051081268295080404,0.20473765220605933,0.11666594759382577,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_9\train\ladrc_x_pos_pid_att\x\20260412_135054\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_9\train\ladrc_x_pos_pid_att\x\20260412_135054\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_9\train\ladrc_x_pos_pid_att\x\20260412_135054
10,500,-22.147776026952975,-18.820018410403282,0.05738656262973059,0.0504101443873507,0.2057480682597118,0.1161797268172457,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_10\train\ladrc_x_pos_pid_att\x\20260412_135238\checkpoints\x_policy.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_10\train\ladrc_x_pos_pid_att\x\20260412_135238\checkpoints\x_policy_best.pt,D:\ZhangC\lc\outputs\control_pybullet_rl\x_refline_no_disturbance_mddpg_retrain\20260412_v1_to_v10_500eps_expanded\v_10\train\ladrc_x_pos_pid_att\x\20260412_135238
