episode,average_reward,reward
1.0,-19.7156782357255,-19.7156782357255
2.0,-19.476219192624555,-19.236760149523615
3.0,-19.592633453655676,-19.825461975717918
4.0,-19.809986507025314,-20.462045667134227
5.0,-19.792668864927254,-19.723398296535017
6.0,-19.845389858978645,-20.1089948292356
7.0,-19.76878196774383,-19.30913462033495
8.0,-34.503787217286416,-137.6488239640845
9.0,-32.854539131031785,-19.660554440994748
10.0,-31.5709127896932,-20.018275717645885
11.0,-43.34538179822967,-161.09007188359436
12.0,-41.34810955581742,-19.378114889282735
13.0,-39.66112136218143,-19.41726303854957
14.0,-39.741024610535426,-40.779766839137295
15.0,-38.44509164794241,-20.30203017164022
16.0,-37.25862131451913,-19.461566313169897
17.0,-36.19547797403314,-19.185184526257217
18.0,-35.31495801805585,-20.34611876644194
19.0,-34.483510255324425,-19.51745052615879
20.0,-33.76625698294818,-20.138444807799534
21.0,-33.08636421983087,-19.488508957484736
22.0,-32.472348177927046,-19.578011297946798
23.0,-31.906883889534498,-19.466669544898473
24.0,-31.391799244789667,-19.544852415658532
25.0,-30.9053422191372,-19.230373603478075
26.0,-30.4747390107651,-19.709658801462503
27.0,-30.073375465635166,-19.637923292256893
28.0,-29.68834583134123,-19.292545705405065
29.0,-29.324186555157755,-19.127726822020488
30.0,-29.00896124228958,-19.86742716911249
31.0,-28.685737617838544,-18.98902888430748
32.0,-28.395319126134993,-19.392345883324744
33.0,-28.12519812380908,-19.48132604938
34.0,-27.860821511095573,-19.136393291549755
35.0,-27.63052385534332,-19.80040355976671
36.0,-27.39964031179784,-19.318716287706046
37.0,-27.170547368171732,-18.923201397631782
38.0,-26.949537250759303,-18.77216290649958
39.0,-26.74655313295174,-19.033156656264325
40.0,-26.561069800248426,-19.327219824818897
41.0,-26.384947438077013,-19.340052951220425
42.0,-26.215448963031275,-19.26601148615591
43.0,-26.06076012990486,-19.563829138595608
44.0,-25.926877628723528,-20.169930077926256
45.0,-25.784381926642887,-19.514571035094562
46.0,-25.649182435909196,-19.565205352893102
47.0,-25.505070004222887,-18.875898146652617
48.0,-25.391968002438123,-20.07617391855456
49.0,-25.277446904729107,-19.78043421469629
50.0,-25.173798200131436,-20.09501167484559
51.0,-25.061603707252754,-19.451879063318483
52.0,-24.96440835121459,-20.00744519326836
53.0,-24.85879690223861,-19.367001555487512
54.0,-24.748966189547204,-18.927938416902908
55.0,-24.65756973706613,-19.72216130308807
56.0,-24.572804726640747,-19.91072915324476
57.0,-24.487704439428178,-19.722088355524466
58.0,-24.40426931103172,-19.648466992433534
59.0,-24.312754705781693,-19.004907601280138
60.0,-24.22411271452184,-18.994235230190682
61.0,-24.15801842059675,-20.192360785091296
62.0,-24.095324484075423,-20.270994356274606
63.0,-24.027973358501434,-19.852203572914007
64.0,-23.959660743480878,-19.65596599718556
65.0,-23.892960454332812,-19.624141948856412
66.0,-23.831269809190054,-19.821377874910834
67.0,-23.766921366552236,-19.519924152456227
68.0,-23.707067363074227,-19.696849130047486
69.0,-23.648509193771083,-19.666553681157527
70.0,-23.587305359778934,-19.36424081432051
