episode,average_reward,reward
1.0,-21.71814116421156,-21.71814116421156
2.0,-76.21551691432788,-130.7128926644442
3.0,-72.12153249917542,-63.93356366887046
4.0,-84.29588517875402,-120.81894321748986
5.0,-84.32150107241327,-84.42396464705031
6.0,-103.37427871794296,-198.63816694559137
7.0,-97.90394182006204,-65.0819204327765
8.0,-92.22539459463943,-52.47556401668116
9.0,-84.36986686911672,-21.52564506493509
10.0,-82.28233895445426,-63.494587722492
11.0,-76.76060369964856,-21.54325115159154
12.0,-74.39913534903276,-48.422983492258936
13.0,-70.21011043548582,-19.941811472922563
14.0,-69.1747243316441,-55.71470498170166
15.0,-71.37297923071583,-102.1485478177201
16.0,-72.60381334141093,-91.06632500183768
17.0,-71.35133688246424,-51.31171353931714
18.0,-72.07106809059479,-84.30649862881401
19.0,-69.33981961655097,-20.17734708376229
20.0,-68.96085362845923,-61.76049985471619
21.0,-70.19158412003277,-94.80619395150339
22.0,-69.77989395562905,-61.13440050315113
23.0,-72.1446927888956,-124.17026712075966
24.0,-72.62248720412367,-83.61175875436948
25.0,-73.09234003437079,-84.36880796030164
26.0,-74.98794806166839,-122.3781487441086
27.0,-79.49327653041492,-196.63181671782425
28.0,-77.33403259307498,-19.034446284896696
29.0,-77.90983493336398,-94.03230046145619
30.0,-76.55178774794518,-37.16841937080025
31.0,-79.41853754747714,-165.42103153343558
32.0,-79.59550459397894,-85.08148303553463
33.0,-80.01055513263384,-93.29217236959047
34.0,-79.99846135698623,-79.59936676061479
35.0,-80.2214903958845,-87.80447771842614
36.0,-79.70543145224372,-61.64336842481649
37.0,-79.45902228770183,-70.58829236419406
38.0,-79.39134882005186,-76.88743051700294
39.0,-79.82786974563308,-96.41566491771954
40.0,-79.27029202265919,-57.52476082667708
41.0,-78.78578955138168,-59.40569070028141
42.0,-77.68698193478374,-32.63586965426803
43.0,-78.0565200848603,-93.5771223880758
44.0,-77.59063231618678,-57.557458263225996
45.0,-77.16781633921718,-58.56391335255467
46.0,-76.93916073258434,-66.64965843410623
47.0,-77.22594462216172,-90.41800354272127
48.0,-77.16016188090536,-74.0683730418561
49.0,-76.90150565784192,-64.48600695079658
50.0,-76.49952902289158,-56.802673910325396
51.0,-75.39516215668128,-20.176818846166135
52.0,-74.33502233846771,-20.2678916095756
53.0,-73.98717571538262,-55.899151314958004
54.0,-73.31019572944565,-37.43025647478644
55.0,-73.05840795400891,-59.46186808042476
56.0,-73.40518104227792,-92.47770089707336
57.0,-73.01656385027181,-51.254001097929724
58.0,-72.800361899797,-60.47685072273235
59.0,-71.89693235027732,-19.49801847813651
60.0,-71.03023057471482,-19.89482581652701
61.0,-70.19778217204116,-20.250878011621538
62.0,-69.94444758096968,-54.49103752560914
63.0,-69.7267310148089,-56.228303912840786
64.0,-69.6235266788614,-63.121653514169154
65.0,-69.56524441139975,-65.83517929385417
66.0,-69.58243156457448,-70.69959652093239
67.0,-69.33853563674671,-53.24140440011397
68.0,-68.61114931029859,-19.87626543827355
69.0,-67.92745797570642,-21.436447223438883
70.0,-68.0186673447329,-74.31211380755994
71.0,-69.22117148169059,-153.39646106872908
72.0,-68.70549034153936,-32.092129390803166
73.0,-68.6232614016932,-62.70277773276902
74.0,-67.97228488992124,-20.45099953056779
75.0,-67.84533727502073,-58.451213772382474
76.0,-67.63712535512543,-52.02123136297887
77.0,-67.45101159668668,-53.30636595534161
78.0,-66.85217972335664,-20.74212547694333
79.0,-66.26748905588815,-20.66161699334625
80.0,-66.25110395356796,-64.9566808702726
81.0,-65.68329751264883,-20.258782239118595
82.0,-65.13905193668029,-21.05516028322745
83.0,-65.04990831037462,-57.74013095331029
84.0,-64.73301300601585,-38.430702744238076
85.0,-64.85290793324661,-74.9240818206301
86.0,-64.67659981283798,-49.69040957810357
87.0,-64.16742274465216,-20.3781948806718
88.0,-63.6674348351673,-20.16848670998588
89.0,-63.6024005300439,-57.87938167918474
90.0,-63.48998665812106,-53.485152056987864
91.0,-63.01490805523544,-20.257833795528857
92.0,-62.9549242680679,-57.496399635821575
93.0,-62.85825783882348,-53.964946348336525
94.0,-62.407038138660354,-20.44360602349043
95.0,-61.96678040814456,-20.582553739659488
96.0,-61.88736435480985,-54.34283928801305
97.0,-61.862352849613345,-59.46124835074879
98.0,-61.87621947789428,-63.22128242114558
99.0,-61.78376612283748,-52.72333732726984
100.0,-61.37230155049792,-20.637308888882398
101.0,-60.981127790364106,-21.8637517769821
102.0,-61.138783263269126,-77.06198602667597
103.0,-60.76464061776856,-22.602090776711705
104.0,-60.37952626055999,-20.712747468077577
105.0,-60.59513756665235,-83.01871340025683
106.0,-60.22900034488005,-21.784592058788988
107.0,-59.86347962068013,-21.11828285548836
108.0,-60.00746048548263,-75.41341301935026
109.0,-59.952325149806676,-53.99770889680367
110.0,-59.671831304824074,-29.098002201720373
111.0,-59.6527510899667,-57.55392745565623
112.0,-59.616441599266594,-55.586088131554426
113.0,-59.99580066068829,-102.48401553991826
114.0,-60.148599513084825,-77.41486983389323
115.0,-60.23233958013213,-69.77870722352527
116.0,-60.309967712125655,-69.23720289138146
117.0,-59.97618849406282,-21.257799198773498
118.0,-59.95677066461183,-57.684884618845544
119.0,-59.92178506611682,-55.79348444370553
120.0,-59.60213717713843,-21.56403838871047
121.0,-59.603961726401224,-59.822907637936055
122.0,-59.28309248954242,-20.457914829626677
123.0,-59.217761267061405,-51.24735212437808
124.0,-58.918517576100975,-22.111543587967756
125.0,-58.62729916558658,-22.51621626180131
126.0,-58.341056976846744,-22.560783384367824
127.0,-58.38253115087533,-63.6082770784771
128.0,-58.09861447911438,-22.041197165474298
129.0,-57.805783651239004,-20.323437683191152
130.0,-57.773640050124136,-53.62711550630628
131.0,-57.53833018590225,-26.948047837056222
132.0,-57.26983110056249,-22.09645092105493
133.0,-57.307003378917585,-62.21374412178992
134.0,-57.04491089993227,-22.186611194885337
135.0,-56.78315588697268,-21.707984150387347
136.0,-58.88996273580183,-343.30888732773803
137.0,-58.61403806604807,-21.088282979535872
138.0,-58.90655229217166,-98.98100127110354
139.0,-58.63040205692439,-20.52166959280148
140.0,-58.35950421453981,-20.704704123083502
141.0,-58.08437342124835,-19.566062360443176
142.0,-57.82746610516444,-21.6035345373326
143.0,-57.57548912613383,-21.7947581037879
144.0,-57.32356308682134,-21.29813946513459
145.0,-57.0713282420387,-20.7495105933398
146.0,-57.084980984262785,-59.064628606755285
147.0,-56.83595773289602,-20.478563033347022
148.0,-56.80154494078553,-51.74286450054497
149.0,-56.553248167420364,-19.805325709376483
150.0,-56.51431442083344,-50.71318617938087
151.0,-56.280003814078704,-21.133412800868975
152.0,-56.325691501176166,-63.22453225289192
153.0,-56.10108595117682,-21.96104235127568
154.0,-56.101874521124756,-56.222525723159734
155.0,-56.28523978764124,-84.52349083117879
156.0,-56.05148182162434,-19.818997089006004
157.0,-56.154104086705,-72.16317743928808
158.0,-56.53825386863022,-116.8497696308894
159.0,-56.31211689116232,-20.582474451232706
160.0,-56.406197997962565,-71.36509397920148
161.0,-56.96038754443323,-145.63071497974002
162.0,-56.73546842914112,-20.523490867111832
163.0,-56.51939265162213,-21.515116693545135
164.0,-56.298316207172434,-20.262855761870743
