episode,average_reward,reward
1.0,-360.54422173006463,-360.54422173006463
2.0,-360.54422173006463,-360.54422173006463
3.0,-360.54422173006463,-360.54422173006463
4.0,-360.54422173006463,-360.54422173006463
5.0,-360.54422173006463,-360.54422173006463
6.0,-360.54422173006463,-360.54422173006463
7.0,-360.54422173006463,-360.54422173006463
8.0,-360.54422173006463,-360.54422173006463
9.0,-360.54422173006463,-360.54422173006463
10.0,-360.54422173006463,-360.54422173006463
11.0,-360.54422173006463,-360.54422173006463
12.0,-360.54422173006463,-360.54422173006463
13.0,-360.5442217300646,-360.54422173006463
14.0,-360.5442217300646,-360.54422173006463
15.0,-360.5442217300645,-360.54422173006463
16.0,-360.54422173006463,-360.54422173006463
17.0,-360.54422173006463,-360.54422173006463
18.0,-360.5442217300646,-360.54422173006463
19.0,-360.5442217300646,-360.54422173006463
20.0,-360.5442217300646,-360.54422173006463
21.0,-360.5442217300645,-360.54422173006463
22.0,-360.5442217300645,-360.54422173006463
23.0,-360.5442217300646,-360.54422173006463
24.0,-360.54422173006463,-360.54422173006463
25.0,-360.5442217300646,-360.54422173006463
26.0,-360.5442217300646,-360.54422173006463
27.0,-360.5442217300646,-360.54422173006463
28.0,-360.5442217300646,-360.54422173006463
29.0,-360.5442217300646,-360.54422173006463
30.0,-360.5442217300645,-360.54422173006463
31.0,-360.5442217300645,-360.54422173006463
32.0,-360.54422173006463,-360.54422173006463
33.0,-360.54422173006463,-360.54422173006463
34.0,-360.54422173006463,-360.54422173006463
35.0,-360.5442217300646,-360.54422173006463
36.0,-360.5442217300646,-360.54422173006463
37.0,-360.5442217300646,-360.54422173006463
38.0,-360.5442217300646,-360.54422173006463
39.0,-360.5442217300646,-360.54422173006463
40.0,-360.54422173006463,-360.54422173006463
41.0,-360.54422173006463,-360.54422173006463
42.0,-360.54422173006463,-360.54422173006463
43.0,-360.54422173006463,-360.54422173006463
44.0,-360.54422173006463,-360.54422173006463
45.0,-360.5442217300646,-360.54422173006463
46.0,-360.54422173006463,-360.54422173006463
47.0,-360.54422173006463,-360.54422173006463
48.0,-360.54422173006463,-360.54422173006463
49.0,-360.54422173006463,-360.54422173006463
50.0,-360.5442217300647,-360.54422173006463
51.0,-360.5442217300647,-360.54422173006463
52.0,-360.54422173006475,-360.54422173006463
53.0,-360.54422173006475,-360.54422173006463
54.0,-360.54422173006475,-360.54422173006463
55.0,-360.5442217300648,-360.54422173006463
56.0,-360.54422173006463,-360.54422173006463
57.0,-360.54422173006463,-360.54422173006463
58.0,-360.5442217300647,-360.54422173006463
59.0,-360.5442217300647,-360.54422173006463
60.0,-360.54422173006475,-360.54422173006463
61.0,-360.54422173006475,-360.54422173006463
62.0,-360.54422173006475,-360.54422173006463
63.0,-360.5442217300648,-360.54422173006463
64.0,-360.54422173006463,-360.54422173006463
65.0,-360.54422173006463,-360.54422173006463
66.0,-360.5442217300647,-360.54422173006463
67.0,-360.5442217300647,-360.54422173006463
68.0,-360.5442217300647,-360.54422173006463
69.0,-360.54422173006475,-360.54422173006463
70.0,-360.54422173006475,-360.54422173006463
71.0,-360.54422173006475,-360.54422173006463
72.0,-360.54422173006463,-360.54422173006463
73.0,-360.54422173006463,-360.54422173006463
74.0,-360.5442217300647,-360.54422173006463
75.0,-360.5442217300647,-360.54422173006463
76.0,-360.5442217300647,-360.54422173006463
77.0,-360.54422173006475,-360.54422173006463
78.0,-360.54422173006475,-360.54422173006463
79.0,-360.54422173006475,-360.54422173006463
80.0,-360.54422173006463,-360.54422173006463
81.0,-360.5442217300647,-360.54422173006463
82.0,-360.5442217300647,-360.54422173006463
83.0,-360.5442217300647,-360.54422173006463
84.0,-360.5442217300647,-360.54422173006463
85.0,-360.54422173006475,-360.54422173006463
86.0,-360.54422173006475,-360.54422173006463
87.0,-360.54422173006475,-360.54422173006463
88.0,-360.54422173006463,-360.54422173006463
89.0,-360.5442217300647,-360.54422173006463
90.0,-360.5442217300647,-360.54422173006463
91.0,-360.5442217300647,-360.54422173006463
92.0,-360.5442217300647,-360.54422173006463
93.0,-360.54422173006475,-360.54422173006463
94.0,-360.54422173006475,-360.54422173006463
95.0,-360.54422173006475,-360.54422173006463
96.0,-360.54422173006463,-360.54422173006463
97.0,-360.54422173006463,-360.54422173006463
98.0,-360.54422173006463,-360.54422173006463
99.0,-360.54422173006463,-360.54422173006463
100.0,-360.5442217300647,-360.54422173006463
101.0,-360.5442217300647,-360.54422173006463
102.0,-360.5442217300647,-360.54422173006463
103.0,-360.5442217300647,-360.54422173006463
104.0,-360.5442217300646,-360.54422173006463
105.0,-360.5442217300646,-360.54422173006463
106.0,-360.54422173006463,-360.54422173006463
107.0,-360.54422173006463,-360.54422173006463
108.0,-360.54422173006463,-360.54422173006463
109.0,-360.54422173006463,-360.54422173006463
110.0,-360.5442217300647,-360.54422173006463
111.0,-360.5442217300647,-360.54422173006463
112.0,-360.5442217300646,-360.54422173006463
113.0,-360.5442217300646,-360.54422173006463
114.0,-360.5442217300646,-360.54422173006463
115.0,-360.5442217300646,-360.54422173006463
116.0,-360.54422173006463,-360.54422173006463
117.0,-360.54422173006463,-360.54422173006463
118.0,-360.54422173006463,-360.54422173006463
119.0,-360.54422173006463,-360.54422173006463
120.0,-360.5442217300645,-360.54422173006463
121.0,-360.5442217300646,-360.54422173006463
122.0,-360.5442217300646,-360.54422173006463
123.0,-360.5442217300646,-360.54422173006463
124.0,-360.5442217300646,-360.54422173006463
125.0,-360.5442217300646,-360.54422173006463
126.0,-360.54422173006463,-360.54422173006463
127.0,-360.54422173006463,-360.54422173006463
128.0,-360.5442217300645,-360.54422173006463
129.0,-360.54422173006463,-360.54422173006463
130.0,-360.54422173006463,-360.54422173006463
131.0,-360.5442217300647,-360.54422173006463
132.0,-360.5442217300647,-360.54422173006463
133.0,-360.5442217300647,-360.54422173006463
134.0,-360.5442217300647,-360.54422173006463
135.0,-360.5442217300647,-360.54422173006463
136.0,-360.5442217300647,-360.54422173006463
137.0,-360.54422173006463,-360.54422173006463
138.0,-360.5442217300647,-360.54422173006463
139.0,-360.54422173006463,-360.54422173006463
140.0,-360.5442217300647,-360.54422173006463
141.0,-360.54422173006463,-360.54422173006463
142.0,-360.54422173006475,-360.54422173006463
143.0,-360.5442217300647,-360.54422173006463
144.0,-360.54422173006463,-360.54422173006463
145.0,-360.54422173006463,-360.54422173006463
146.0,-360.54422173006463,-360.54422173006463
147.0,-360.5442217300647,-360.54422173006463
148.0,-360.5442217300647,-360.54422173006463
149.0,-360.5442217300647,-360.54422173006463
150.0,-360.5442217300647,-360.54422173006463
151.0,-360.5442217300647,-360.54422173006463
152.0,-360.54422173006463,-360.54422173006463
153.0,-360.5442217300647,-360.54422173006463
154.0,-360.54422173006463,-360.54422173006463
155.0,-360.5442217300647,-360.54422173006463
156.0,-360.54422173006463,-360.54422173006463
157.0,-360.5442217300647,-360.54422173006463
158.0,-360.5442217300647,-360.54422173006463
159.0,-360.54422173006475,-360.54422173006463
160.0,-360.54422173006463,-360.54422173006463
161.0,-360.54422173006463,-360.54422173006463
162.0,-360.5442217300647,-360.54422173006463
163.0,-360.5442217300647,-360.54422173006463
164.0,-360.5442217300647,-360.54422173006463
165.0,-360.5442217300647,-360.54422173006463
166.0,-360.5442217300647,-360.54422173006463
167.0,-360.5442217300647,-360.54422173006463
168.0,-360.5442217300647,-360.54422173006463
169.0,-360.54422173006463,-360.54422173006463
170.0,-360.5442217300647,-360.54422173006463
171.0,-360.54422173006463,-360.54422173006463
172.0,-360.5442217300647,-360.54422173006463
173.0,-360.5442217300647,-360.54422173006463
174.0,-360.5442217300647,-360.54422173006463
175.0,-360.5442217300647,-360.54422173006463
176.0,-360.54422173006463,-360.54422173006463
177.0,-360.54422173006463,-360.54422173006463
178.0,-360.5442217300647,-360.54422173006463
179.0,-360.5442217300647,-360.54422173006463
180.0,-360.5442217300647,-360.54422173006463
181.0,-360.5442217300647,-360.54422173006463
182.0,-360.5442217300647,-360.54422173006463
183.0,-360.5442217300647,-360.54422173006463
184.0,-360.54422173006463,-360.54422173006463
185.0,-360.5442217300646,-360.54422173006463
186.0,-360.54422173006463,-360.54422173006463
187.0,-360.5442217300647,-360.54422173006463
188.0,-360.54422173006463,-360.54422173006463
189.0,-360.54422173006463,-360.54422173006463
190.0,-360.5442217300647,-360.54422173006463
191.0,-360.54422173006475,-360.54422173006463
192.0,-360.54422173006463,-360.54422173006463
193.0,-360.54422173006463,-360.54422173006463
194.0,-360.54422173006463,-360.54422173006463
195.0,-360.5442217300646,-360.54422173006463
196.0,-360.54422173006463,-360.54422173006463
197.0,-360.5442217300647,-360.54422173006463
198.0,-360.54422173006463,-360.54422173006463
199.0,-360.54422173006463,-360.54422173006463
200.0,-360.5442217300646,-360.54422173006463
201.0,-360.5442217300646,-360.54422173006463
202.0,-360.54422173006463,-360.54422173006463
203.0,-360.54422173006463,-360.54422173006463
204.0,-360.54422173006463,-360.54422173006463
205.0,-360.5442217300646,-360.54422173006463
206.0,-360.54422173006463,-360.54422173006463
207.0,-360.5442217300647,-360.54422173006463
208.0,-360.5442217300646,-360.54422173006463
209.0,-360.54422173006463,-360.54422173006463
210.0,-360.5442217300646,-360.54422173006463
211.0,-360.5442217300646,-360.54422173006463
212.0,-360.54422173006463,-360.54422173006463
