episode,average_reward,reward
1.0,-345.2396188457178,-345.2396188457178
2.0,-345.2396188457178,-345.2396188457178
3.0,-345.2396188457178,-345.2396188457178
4.0,-345.2396188457178,-345.2396188457178
5.0,-345.2396188457178,-345.2396188457178
6.0,-345.2396188457178,-345.2396188457178
7.0,-345.2396188457178,-345.2396188457178
8.0,-345.2396188457178,-345.2396188457178
9.0,-345.2396188457178,-345.2396188457178
10.0,-345.2396188457178,-345.2396188457178
11.0,-345.2396188457178,-345.2396188457178
12.0,-345.2396188457178,-345.2396188457178
13.0,-345.2396188457178,-345.2396188457178
14.0,-345.2396188457178,-345.2396188457178
15.0,-345.2396188457178,-345.2396188457178
16.0,-345.2396188457178,-345.2396188457178
17.0,-345.2396188457178,-345.2396188457178
18.0,-345.2396188457178,-345.2396188457178
19.0,-345.2396188457178,-345.2396188457178
20.0,-345.2396188457178,-345.2396188457178
21.0,-345.2396188457178,-345.2396188457178
22.0,-345.2396188457178,-345.2396188457178
23.0,-345.2396188457178,-345.2396188457178
24.0,-345.2396188457178,-345.2396188457178
25.0,-345.23961884571776,-345.2396188457178
26.0,-345.23961884571776,-345.2396188457178
27.0,-345.2396188457177,-345.2396188457178
28.0,-345.2396188457177,-345.2396188457178
29.0,-345.23961884571764,-345.2396188457178
30.0,-345.23961884571764,-345.2396188457178
31.0,-345.2396188457176,-345.2396188457178
32.0,-345.2396188457178,-345.2396188457178
33.0,-345.2396188457178,-345.2396188457178
34.0,-345.23961884571776,-345.2396188457178
35.0,-345.23961884571776,-345.2396188457178
36.0,-345.2396188457177,-345.2396188457178
37.0,-345.2396188457177,-345.2396188457178
38.0,-345.23961884571764,-345.2396188457178
39.0,-345.23961884571764,-345.2396188457178
40.0,-345.2396188457178,-345.2396188457178
41.0,-345.2396188457178,-345.2396188457178
42.0,-345.23961884571776,-345.2396188457178
43.0,-345.23961884571776,-345.2396188457178
44.0,-345.23961884571776,-345.2396188457178
45.0,-345.2396188457177,-345.2396188457178
46.0,-345.2396188457177,-345.2396188457178
47.0,-345.2396188457177,-345.2396188457178
48.0,-345.2396188457178,-345.2396188457178
49.0,-345.2396188457178,-345.2396188457178
50.0,-345.23961884571776,-345.2396188457178
51.0,-345.23961884571776,-345.2396188457178
52.0,-345.23961884571776,-345.2396188457178
53.0,-345.2396188457177,-345.2396188457178
54.0,-345.2396188457177,-345.2396188457178
55.0,-345.2396188457177,-345.2396188457178
56.0,-345.2396188457178,-345.2396188457178
57.0,-345.2396188457178,-345.2396188457178
58.0,-345.23961884571776,-345.2396188457178
59.0,-345.23961884571776,-345.2396188457178
60.0,-345.23961884571776,-345.2396188457178
61.0,-345.23961884571776,-345.2396188457178
62.0,-345.2396188457177,-345.2396188457178
63.0,-345.2396188457177,-345.2396188457178
64.0,-345.2396188457178,-345.2396188457178
65.0,-345.2396188457178,-345.2396188457178
66.0,-345.2396188457178,-345.2396188457178
67.0,-345.23961884571776,-345.2396188457178
68.0,-345.23961884571776,-345.2396188457178
69.0,-345.23961884571776,-345.2396188457178
70.0,-345.23961884571776,-345.2396188457178
71.0,-345.2396188457177,-345.2396188457178
72.0,-345.2396188457178,-345.2396188457178
73.0,-345.2396188457178,-345.2396188457178
74.0,-345.2396188457178,-345.2396188457178
75.0,-345.23961884571776,-345.2396188457178
76.0,-345.23961884571776,-345.2396188457178
77.0,-345.23961884571776,-345.2396188457178
78.0,-345.23961884571776,-345.2396188457178
79.0,-345.23961884571776,-345.2396188457178
80.0,-345.2396188457178,-345.2396188457178
81.0,-345.2396188457178,-345.2396188457178
82.0,-345.2396188457178,-345.2396188457178
83.0,-345.23961884571776,-345.2396188457178
84.0,-345.23961884571776,-345.2396188457178
85.0,-345.23961884571776,-345.2396188457178
86.0,-345.23961884571776,-345.2396188457178
87.0,-345.23961884571776,-345.2396188457178
88.0,-345.2396188457178,-345.2396188457178
89.0,-345.2396188457178,-345.2396188457178
90.0,-345.2396188457178,-345.2396188457178
91.0,-345.23961884571776,-345.2396188457178
92.0,-345.23961884571776,-345.2396188457178
93.0,-345.23961884571776,-345.2396188457178
94.0,-345.23961884571776,-345.2396188457178
95.0,-345.23961884571776,-345.2396188457178
96.0,-345.2396188457178,-345.2396188457178
97.0,-345.2396188457178,-345.2396188457178
98.0,-345.23961884571787,-345.2396188457178
99.0,-345.23961884571787,-345.2396188457178
100.0,-345.2396188457179,-345.2396188457178
101.0,-345.2396188457179,-345.2396188457178
102.0,-345.239618845718,-345.2396188457178
103.0,-345.239618845718,-345.2396188457178
104.0,-345.2396188457178,-345.2396188457178
105.0,-345.2396188457178,-345.2396188457178
106.0,-345.23961884571787,-345.2396188457178
107.0,-345.23961884571787,-345.2396188457178
108.0,-345.2396188457179,-345.2396188457178
109.0,-345.2396188457179,-345.2396188457178
110.0,-345.239618845718,-345.2396188457178
111.0,-345.239618845718,-345.2396188457178
112.0,-345.2396188457178,-345.2396188457178
113.0,-345.2396188457178,-345.2396188457178
114.0,-345.23961884571787,-345.2396188457178
115.0,-345.23961884571787,-345.2396188457178
116.0,-345.2396188457179,-345.2396188457178
117.0,-345.2396188457179,-345.2396188457178
118.0,-345.2396188457179,-345.2396188457178
119.0,-345.239618845718,-345.2396188457178
120.0,-345.2396188457178,-345.2396188457178
121.0,-345.2396188457178,-345.2396188457178
122.0,-345.23961884571787,-345.2396188457178
123.0,-345.23961884571787,-345.2396188457178
124.0,-345.2396188457179,-345.2396188457178
125.0,-345.2396188457179,-345.2396188457178
126.0,-345.2396188457179,-345.2396188457178
127.0,-345.239618845718,-345.2396188457178
128.0,-345.2396188457178,-345.2396188457178
129.0,-345.2396188457178,-345.2396188457178
130.0,-345.2396188457178,-345.2396188457178
131.0,-345.23961884571776,-345.2396188457178
132.0,-345.2396188457178,-345.2396188457178
133.0,-345.2396188457178,-345.2396188457178
134.0,-345.23961884571776,-345.2396188457178
135.0,-345.23961884571776,-345.2396188457178
136.0,-345.2396188457178,-345.2396188457178
137.0,-345.23961884571776,-345.2396188457178
138.0,-345.2396188457178,-345.2396188457178
139.0,-345.2396188457178,-345.2396188457178
140.0,-345.2396188457178,-345.2396188457178
141.0,-345.23961884571776,-345.2396188457178
142.0,-345.23961884571776,-345.2396188457178
143.0,-345.2396188457178,-345.2396188457178
144.0,-345.2396188457178,-345.2396188457178
145.0,-345.2396188457178,-345.2396188457178
146.0,-345.2396188457178,-345.2396188457178
147.0,-345.23961884571776,-345.2396188457178
148.0,-345.2396188457178,-345.2396188457178
149.0,-345.2396188457178,-345.2396188457178
150.0,-345.23961884571776,-345.2396188457178
151.0,-345.23961884571776,-345.2396188457178
152.0,-345.2396188457178,-345.2396188457178
153.0,-345.23961884571776,-345.2396188457178
154.0,-345.2396188457178,-345.2396188457178
155.0,-345.2396188457178,-345.2396188457178
156.0,-345.2396188457178,-345.2396188457178
157.0,-345.23961884571776,-345.2396188457178
158.0,-345.23961884571776,-345.2396188457178
159.0,-345.2396188457178,-345.2396188457178
160.0,-345.2396188457178,-345.2396188457178
161.0,-345.2396188457178,-345.2396188457178
162.0,-345.2396188457178,-345.2396188457178
163.0,-345.23961884571776,-345.2396188457178
164.0,-345.2396188457178,-345.2396188457178
165.0,-345.2396188457178,-345.2396188457178
166.0,-345.23961884571776,-345.2396188457178
167.0,-345.23961884571776,-345.2396188457178
168.0,-345.2396188457178,-345.2396188457178
169.0,-345.2396188457178,-345.2396188457178
170.0,-345.2396188457178,-345.2396188457178
171.0,-345.2396188457178,-345.2396188457178
172.0,-345.2396188457178,-345.2396188457178
173.0,-345.23961884571776,-345.2396188457178
174.0,-345.23961884571776,-345.2396188457178
175.0,-345.2396188457178,-345.2396188457178
176.0,-345.2396188457178,-345.2396188457178
177.0,-345.2396188457178,-345.2396188457178
178.0,-345.2396188457178,-345.2396188457178
179.0,-345.23961884571776,-345.2396188457178
180.0,-345.2396188457178,-345.2396188457178
181.0,-345.2396188457178,-345.2396188457178
182.0,-345.23961884571776,-345.2396188457178
183.0,-345.2396188457178,-345.2396188457178
184.0,-345.2396188457178,-345.2396188457178
185.0,-345.2396188457178,-345.2396188457178
186.0,-345.23961884571787,-345.2396188457178
187.0,-345.23961884571787,-345.2396188457178
188.0,-345.23961884571787,-345.2396188457178
189.0,-345.23961884571787,-345.2396188457178
190.0,-345.2396188457179,-345.2396188457178
191.0,-345.2396188457179,-345.2396188457178
192.0,-345.2396188457178,-345.2396188457178
193.0,-345.2396188457178,-345.2396188457178
194.0,-345.2396188457178,-345.2396188457178
195.0,-345.23961884571787,-345.2396188457178
196.0,-345.23961884571787,-345.2396188457178
197.0,-345.23961884571787,-345.2396188457178
198.0,-345.23961884571787,-345.2396188457178
199.0,-345.2396188457179,-345.2396188457178
200.0,-345.23961884571776,-345.2396188457178
201.0,-345.2396188457178,-345.2396188457178
