episode,average_reward,reward
1.0,-485.5683661460013,-485.5683661460013
2.0,-462.8147234494046,-440.0610807528079
3.0,-457.7575214011628,-447.6431173046792
4.0,-477.97633688129207,-538.6327833216799
5.0,-480.54914509777063,-490.840377963685
6.0,-488.86211111306415,-530.4269411895316
7.0,-489.37549008437145,-492.4557639122155
8.0,-484.12671024027,-447.38525133155946
9.0,-480.1184825263988,-448.05266081542925
10.0,-474.03701121601273,-419.30376942253747
11.0,-471.3699666252489,-444.69952071761094
12.0,-469.3337824275982,-446.93575625344045
13.0,-472.49825369651614,-510.47190892353177
14.0,-471.6216526313109,-460.2258387836427
15.0,-468.8403311973248,-429.9018311215194
16.0,-466.72410438656755,-434.98070222520863
17.0,-466.25841506590064,-458.8073859352297
18.0,-466.25887894839536,-466.2667649508056
19.0,-464.5131590904298,-433.0902016470503
20.0,-463.7941174039338,-450.13232536050987
