episode,average_reward,reward
1.0,-506.59115042867745,-506.59115042867745
2.0,-559.9769054366877,-613.3626604446981
3.0,-597.2411180966138,-671.7695434164659
4.0,-599.0862553906688,-604.6216672728342
5.0,-588.541103507038,-546.3604959725146
6.0,-579.340801542345,-533.3392917188805
7.0,-576.6737625328722,-560.6715284760348
8.0,-563.2733116873342,-469.4701557685679
9.0,-574.7973241425178,-666.9894237839874
10.0,-568.3152487228691,-509.97656994603074
11.0,-559.1700311030573,-467.7178549049402
12.0,-557.1090666683446,-534.4384578865028
13.0,-548.3602865559297,-443.3749252069526
14.0,-548.4080610653011,-549.0291296871283
15.0,-559.9139085047804,-720.9957726574902
16.0,-562.1017604275607,-594.9195392692668
17.0,-559.8686511555503,-524.138902803383
18.0,-554.4179699400825,-461.75638927713055
19.0,-551.9176199421656,-506.9113199796614
20.0,-548.1749751717346,-477.06472453354326
