episode,reward,average_reward,exploration_noise,actor_loss,critic_loss
1.0,-348.03595908281545,-348.03595908281545,0.3,0.15224742889404297,42.69728469848633
2.0,-363.12423028100955,-355.5800946819125,0.26,0.3803412914276123,39.21248245239258
3.0,-328.1956699839728,-346.4519531159326,0.21999999999999997,0.6022076606750488,42.5726432800293
4.0,-470.9453995144881,-377.5753147155715,0.18,0.8400537967681885,41.4820442199707
5.0,-438.23235723217556,-389.7067232188923,0.13999999999999999,1.058136224746704,50.02411651611328
6.0,-467.22301609109155,-402.6261053642589,0.1,1.3106510639190674,48.26557922363281
7.0,-405.3293537459424,-403.01228370449945,0.1,1.621816635131836,41.784358978271484
8.0,-408.23227877604216,-403.6647830884422,0.1,1.8412930965423584,38.187164306640625
9.0,-422.77055185096077,-405.78764628427757,0.1,2.160762071609497,41.54768371582031
10.0,-374.9290495770296,-402.7017866135528,0.1,2.422196626663208,31.105937957763672
11.0,-391.836424297393,-401.7140264029928,0.1,2.682188034057617,30.12632179260254
12.0,-400.10634431471846,-401.5800528956366,0.1,3.040590286254883,23.16295623779297
13.0,-466.18376976613314,-406.5495695779825,0.1,3.414358615875244,21.506820678710938
14.0,-400.57355266866807,-406.12271122731715,0.1,3.898885726928711,21.25117301940918
15.0,-384.88173813404876,-404.70664635443256,0.08666666666666667,4.061457633972168,17.386005401611328
16.0,-383.07423345467623,-403.3546205481979,0.07333333333333333,4.595334529876709,15.568203926086426
17.0,-461.8315356539788,-406.79443908383206,0.060000000000000005,5.082702159881592,11.121729850769043
18.0,-419.9360351383684,-407.5245277535285,0.046666666666666676,5.532735347747803,13.224709510803223
19.0,-405.7410460442279,-407.43066029514426,0.03333333333333334,5.960042953491211,11.380546569824219
20.0,-430.95185777821763,-408.60672016929794,0.020000000000000004,6.471646785736084,8.578877449035645
