episode,reward,average_reward,exploration_noise,actor_loss,critic_loss
1.0,-91.70472342055291,-91.70472342055291,0.2,0.26327893137931824,0.24804647266864777
2.0,-11.526962894015014,-51.61584315728396,0.1993939393939394,0.3588431477546692,0.07944256067276001
3.0,-11.76426858548075,-38.33198496668289,0.1987878787878788,0.38388964533805847,0.08463432639837265
4.0,-12.320459363050759,-31.829103565774858,0.19818181818181818,0.3317162096500397,0.08327403664588928
5.0,-12.781173908151686,-28.019517634250224,0.1975757575757576,0.2440873235464096,0.07276709377765656
6.0,-13.077415217645466,-25.529167231482763,0.196969696969697,0.156366765499115,0.0361933559179306
7.0,-13.301005116663873,-23.782286929365778,0.19636363636363638,0.05150323361158371,0.016940422356128693
8.0,-13.817855122499168,-22.536732953507453,0.19575757575757577,-0.01063113659620285,0.020529938861727715
9.0,-14.305212362669408,-21.622119554525447,0.19515151515151516,-0.06292697042226791,0.02944224141538143
10.0,-14.263341940008104,-20.886241793073715,0.19454545454545455,-0.08064572513103485,0.026866164058446884
11.0,-14.489899528212845,-20.304756132631816,0.19393939393939394,-0.06864959001541138,0.0272211916744709
12.0,-14.772715005092323,-19.843752705336858,0.19333333333333336,-0.015314767137169838,0.03171510621905327
13.0,-14.911982635967433,-19.464385776923827,0.19272727272727275,0.04613282531499863,0.02763093262910843
14.0,-15.116247582249343,-19.15380447730422,0.19212121212121214,0.09759311378002167,0.009972915053367615
15.0,-14.925836893729866,-18.871939971732598,0.19151515151515153,0.15076985955238342,0.008443367667496204
16.0,-15.080107259564102,-18.634950427222066,0.19090909090909092,0.1914498209953308,0.00966709479689598
17.0,-15.119438304565847,-18.42815559647758,0.1903030303030303,0.20573440194129944,0.015109632164239883
18.0,-15.387107809074223,-18.259208497177397,0.1896969696969697,0.19056068360805511,0.01731967367231846
19.0,-15.301516345702112,-18.103540489205013,0.1890909090909091,0.1620672345161438,0.012547947466373444
20.0,-14.838617372326553,-17.940294333361088,0.1884848484848485,0.1490570306777954,0.010008678771555424
21.0,-15.095361513085663,-17.804821341919403,0.1878787878787879,0.10403640568256378,0.006911743897944689
22.0,-14.906810681335628,-17.67309358462014,0.18727272727272729,0.06992315500974655,0.0055000148713588715
23.0,-15.904235706664622,-17.596186720361203,0.18666666666666668,0.06138947233557701,0.007648142520338297
24.0,-14.989804599434137,-17.487587465322576,0.18606060606060607,0.02792070060968399,0.005062853451818228
25.0,-14.876410732977092,-17.383140396028757,0.18545454545454546,0.030313292518258095,0.008149873465299606
26.0,-14.288793514482677,-17.26412705443083,0.18484848484848487,0.023695454001426697,0.008176731877028942
27.0,-13.928905713371933,-17.140600338095314,0.18424242424242426,0.03293006494641304,0.005793645512312651
28.0,-14.404386873356998,-17.042878428640375,0.18363636363636365,0.0497007817029953,0.00692084152251482
29.0,-13.994249350391328,-16.9377532880111,0.18303030303030304,0.0675656646490097,0.004413755144923925
30.0,-13.532639575190842,-16.824249497583757,0.18242424242424243,0.08007106184959412,0.006655095145106316
31.0,-13.686699322424829,-16.723038201610887,0.18181818181818182,0.09149666875600815,0.004271679557859898
32.0,-13.769027716480196,-16.630725373950554,0.1812121212121212,0.11386729776859283,0.007510490715503693
33.0,-13.458834654651582,-16.534607473365735,0.1806060606060606,0.12052017450332642,0.006513579748570919
34.0,-13.492961334995925,-16.44514729282545,0.18,0.12697279453277588,0.004496192093938589
35.0,-13.012066108174622,-16.34705925897828,0.1793939393939394,0.11399683356285095,0.008744565770030022
36.0,-13.304238854907453,-16.262536469976315,0.1787878787878788,0.10777004808187485,0.004145168233662844
37.0,-13.324092048220336,-16.1831190531721,0.1781818181818182,0.09869887679815292,0.005176727660000324
38.0,-13.144524020142853,-16.10315602598712,0.17757575757575758,0.0916576236486435,0.0035075023770332336
39.0,-13.225115633569658,-16.029360118489233,0.17696969696969697,0.07006388902664185,0.0032610688358545303
40.0,-13.54193717893213,-15.967174545000308,0.1763636363636364,0.06370867043733597,0.004910415504127741
41.0,-12.943263092078269,-15.89342060712416,0.17575757575757578,0.05955112725496292,0.004349558614194393
42.0,-13.461993440054357,-15.83552948409869,0.17515151515151517,0.051270924508571625,0.004027493763715029
43.0,-13.540944711305201,-15.782167047522096,0.17454545454545456,0.058829423040151596,0.00389436399564147
44.0,-13.64619259443134,-15.733622173588214,0.17393939393939395,0.0603792779147625,0.004500705748796463
45.0,-13.946249996311963,-15.693902791870965,0.17333333333333334,0.057186685502529144,0.003908177372068167
46.0,-13.907986872829497,-15.655078532761367,0.17272727272727273,0.0616428442299366,0.0027930564247071743
47.0,-13.858217325992882,-15.616847443255656,0.17212121212121212,0.08201835304498672,0.0040659294463694096
48.0,-13.940928717143834,-15.581932469794992,0.1715151515151515,0.08920562267303467,0.002999112941324711
49.0,-13.754281147383153,-15.54463346321516,0.17090909090909093,0.1007349044084549,0.0029578565154224634
50.0,-14.025094562210143,-15.51424268519506,0.17030303030303032,0.09970535337924957,0.0038242186419665813
51.0,-14.130716308020055,-15.487114717015157,0.1696969696969697,0.09837707132101059,0.0030034997034817934
52.0,-14.17799745965749,-15.461939385142895,0.1690909090909091,0.091753751039505,0.003182978369295597
53.0,-13.622858577407897,-15.427239747261101,0.1684848484848485,0.0938018411397934,0.002377923345193267
54.0,-14.018128576688468,-15.4011450959542,0.16787878787878788,0.0836549699306488,0.0024323866236954927
55.0,-13.98893381934613,-15.3754685272886,0.1672727272727273,0.08042444288730621,0.00573837012052536
56.0,-13.620554125867784,-15.34413077012037,0.16666666666666669,0.08203424513339996,0.0029184415470808744
57.0,-13.431306322105229,-15.310572446470982,0.16606060606060608,0.07308224588632584,0.0023857378400862217
58.0,-13.601686648093164,-15.281108898223088,0.16545454545454547,0.07144143432378769,0.0021014094818383455
59.0,-13.557271524332464,-15.251891315614772,0.16484848484848486,0.06574605405330658,0.0028149995487183332
60.0,-13.46082651708275,-15.22204023563924,0.16424242424242425,0.06506958603858948,0.0031793219968676567
61.0,-13.71963210683316,-15.197410594183403,0.16363636363636364,0.06554654985666275,0.0029785363003611565
62.0,-13.845351398922503,-15.175603187808226,0.16303030303030303,0.07569056749343872,0.002494268584996462
63.0,-13.785121719352901,-15.1535320533883,0.16242424242424244,0.07156355679035187,0.0025580022484064102
64.0,-13.535026219673455,-15.128242899736506,0.16181818181818183,0.07318884134292603,0.002443632110953331
65.0,-13.941759037785232,-15.109989301860333,0.16121212121212122,0.08083639293909073,0.002267905045300722
66.0,-13.998078080825508,-15.093142162147684,0.1606060606060606,0.08649764209985733,0.0026853163726627827
67.0,-14.104421935044229,-15.078385143832707,0.16,0.08741389960050583,0.00321584427729249
68.0,-13.729535513557494,-15.058549119858071,0.1593939393939394,0.09150466322898865,0.0029408473055809736
69.0,-14.03214596491307,-15.04367371181539,0.1587878787878788,0.091191865503788,0.0028769115451723337
70.0,-13.67243858333677,-15.02408463855141,0.1581818181818182,0.09148281067609787,0.0024045559111982584
71.0,-13.83805677574128,-15.007380020765352,0.1575757575757576,0.08603048324584961,0.0028797192499041557
72.0,-14.026933572255075,-14.993762708980487,0.15696969696969698,0.08092579245567322,0.0030451053753495216
73.0,-13.899614962749183,-14.978774383689647,0.15636363636363637,0.07808946073055267,0.002621858147904277
74.0,-13.78901858534664,-14.962696602630958,0.15575757575757576,0.07562627643346786,0.002406418789178133
75.0,-13.796656225807965,-14.947149397606651,0.15515151515151515,0.07480144500732422,0.0027792053297162056
76.0,-13.989425036124885,-14.934547761271364,0.15454545454545454,0.07931618392467499,0.003063828917220235
77.0,-13.518283306621015,-14.916154716405776,0.15393939393939393,0.08683883398771286,0.005840550642460585
78.0,-13.704536818899214,-14.90062115361723,0.15333333333333335,0.07549987733364105,0.0028236359357833862
79.0,-13.336206591688097,-14.880818437643443,0.15272727272727274,0.07465813308954239,0.0021118391305208206
80.0,-13.30185094755143,-14.861081344017293,0.15212121212121213,0.07571408152580261,0.0026625068858265877
