episode,average_reward,reward
1.0,-11.681584217585623,-11.681584217585623
2.0,-11.949093194678426,-12.216602171771228
3.0,-12.042529913286367,-12.229403350502253
4.0,-12.070499354740605,-12.154407679103315
5.0,-12.041749970242382,-11.926752432249486
6.0,-12.1268259974507,-12.552206133492291
7.0,-14.801324756017753,-30.848317307420075
8.0,-14.544156295363791,-12.743977070786059
9.0,-14.361044451387393,-12.896149699576199
10.0,-14.165600279998035,-12.406602737493813
11.0,-14.035107722336596,-12.73018214572221
12.0,-13.957122912552828,-13.09929000493139
13.0,-13.836462419336804,-12.388536500744522
14.0,-13.731600385558393,-12.368393946439028
15.0,-16.775559465276697,-59.39098658133298
16.0,-20.630488778464496,-78.45442847628146
17.0,-20.128412744304274,-12.095196197740734
18.0,-19.65322662424296,-11.575062583200634
19.0,-20.705656215009327,-39.64938884880394
20.0,-20.25920424296055,-11.776616774033755
21.0,-19.867277439262363,-12.028741365298629
22.0,-19.53923549661836,-12.65035470109433
23.0,-20.763672472281463,-47.70128593686968
24.0,-20.425907402241137,-12.657310791313648
25.0,-20.101331348326056,-12.311506054364145
26.0,-19.7949028092329,-12.134189331904054
27.0,-19.524498774514843,-12.493993871845305
28.0,-19.25532319900646,-11.987582660280168
29.0,-19.01217425757505,-12.204003897495568
30.0,-18.799785182237006,-12.640501997433603
31.0,-18.605092441257572,-12.764310211874545
32.0,-18.43219110275095,-13.072249609045684
33.0,-18.26400562885189,-12.882070464082062
34.0,-18.128952749443297,-13.67220772895962
35.0,-17.997310829654868,-13.521485556848347
36.0,-17.86226035591163,-13.13549377489835
37.0,-17.748614611469108,-13.657367811538279
38.0,-17.636024462193937,-13.470188939012587
39.0,-17.529969862841355,-13.499895087443292
40.0,-17.441046626435128,-13.97304040659219
41.0,-17.349479962106248,-13.686813388951123
42.0,-17.262973171159892,-13.716194742359221
43.0,-17.16696658112152,-13.134689799509943
44.0,-17.074010155068457,-13.076883834786713
45.0,-16.998222195160473,-13.663551959209144
46.0,-16.92942973549235,-13.833769050426781
47.0,-16.86104716531972,-13.715448937378824
48.0,-16.788938708671292,-13.399841246195138
49.0,-16.722926259848613,-13.554328716360033
50.0,-16.648008606387304,-12.977043586783111
51.0,-16.579388727169192,-13.148394766263664
52.0,-16.514705359174584,-13.215853591449559
53.0,-16.446484210470445,-12.898984477855265
54.0,-16.379117375783,-12.808675137348473
