episode,average_reward,reward
1.0,-91.70472342055291,-91.70472342055291
2.0,-51.60334816388786,-11.501972907222807
3.0,-43.90492114517838,-28.508067107759416
4.0,-38.329763846471906,-21.60429195035249
5.0,-33.19899441320449,-12.675916680134833
6.0,-29.79217574962725,-12.758082431741059
7.0,-27.399607044910745,-13.044194816611707
8.0,-25.6850132283289,-13.682856512255967
9.0,-24.39330378247218,-14.059628215618432
10.0,-23.364023817144336,-14.100504129193723
11.0,-22.53983618530699,-14.297959866933525
12.0,-21.87703736204033,-14.586250306107104
13.0,-21.32752418768807,-14.733366095460951
14.0,-20.874513636875367,-14.985376476310194
15.0,-20.47294494478653,-14.850983255542815
16.0,-20.11660798836965,-14.771553642116487
17.0,-19.811486033229706,-14.92953475099057
18.0,-19.554020735228228,-15.177110669203103
19.0,-19.340717181318293,-15.501253210939467
20.0,-19.11532208281569,-14.83281521126628
21.0,-18.92266070097685,-15.069433064199984
22.0,-18.738142107486386,-14.863251644186676
23.0,-18.569759379019555,-14.865339352749288
24.0,-18.392858726709772,-14.324143723584712
25.0,-18.230578767061232,-14.335859735496342
26.0,-18.07304184479066,-14.134618788026273
27.0,-17.912423061689847,-13.7363347010687
28.0,-17.772598919558472,-13.997347082011402
29.0,-17.630492871241838,-13.651523518376052
30.0,-17.49983065199728,-13.71062629390508
31.0,-17.37798507908179,-13.72261789161712
32.0,-17.268844302889192,-13.885480240918696
33.0,-17.15080396108555,-13.373513023369014
34.0,-17.052700330037624,-13.81528050545603
35.0,-16.946238984540106,-13.326553237624466
36.0,-16.849162925526294,-13.45150086004287
37.0,-16.755399634709228,-13.379921165294945
38.0,-16.662932293170964,-13.241640656255186
39.0,-16.579926257141125,-13.425696888007224
40.0,-16.5001519219717,-13.388952850364149
41.0,-16.419719203579717,-13.202410467900336
42.0,-16.349000239367818,-13.44952270668
43.0,-16.284441365622158,-13.572968668304384
44.0,-16.232412150362507,-13.995155894197524
45.0,-16.187501859002644,-14.211449039168656
46.0,-16.140375623864163,-14.01969504263252
47.0,-16.096498323247786,-14.078142494894564
48.0,-16.052777615201194,-13.997904337011278
49.0,-16.00988276333225,-13.950929873622954
50.0,-15.970397542808206,-14.035621737129986
51.0,-15.930212925754342,-13.920982073061168
52.0,-15.892225262476131,-13.954854435287416
53.0,-15.850790363718879,-13.696175628341734
54.0,-15.811086870781663,-13.70680174510926
55.0,-15.772887467965484,-13.710119715891778
56.0,-15.733442846469448,-13.563988664187491
57.0,-15.695954257262903,-13.596593261696398
58.0,-15.658822624253688,-13.542319542728364
59.0,-15.622759532025558,-13.531100182794034
60.0,-15.59035278246738,-13.67835455853492
61.0,-15.560399021647992,-13.763173372484744
62.0,-15.530373449242044,-13.698813532479107
63.0,-15.503517516962592,-13.83844971563667
64.0,-15.4727222390502,-13.532619730569422
65.0,-15.449235213060792,-13.946065549738705
66.0,-15.425986096305264,-13.91479350719601
67.0,-15.405611688799377,-14.060900793410838
68.0,-15.385432502487674,-14.03342701960355
69.0,-15.365348449975684,-13.999632879160345
70.0,-15.345098217323955,-13.947832164354622
71.0,-15.32154875977988,-13.673086731694639
72.0,-15.304282511778487,-14.07837890367955
73.0,-15.283625247059007,-13.796302187256515
74.0,-15.26487776127367,-13.896311298944056
75.0,-15.247364567990104,-13.951388265006244
76.0,-15.23082201274749,-13.99013036955148
77.0,-15.209070912646977,-13.555987305007875
78.0,-15.187988347385843,-13.56463082227856
79.0,-15.16637627903042,-13.480634947307408
80.0,-15.146745344821829,-13.5959015423432
81.0,-15.125928966719428,-13.460618718527257
82.0,-15.10640648676355,-13.525085610337555
83.0,-15.084351522646037,-13.275844465009868
84.0,-15.063422122293906,-13.326281893067062
85.0,-15.039984344187028,-13.071210983209312
86.0,-15.017697637326755,-13.12332755420357
87.0,-14.9966426327846,-13.185912242159247
88.0,-14.978457938265903,-13.396389515139163
89.0,-14.959857255586664,-13.322997179813683
90.0,-14.938865972144736,-13.070641745813191
91.0,-14.921339877246583,-13.343991336412728
92.0,-14.903742950652605,-13.302422630600631
93.0,-14.88635207889902,-13.286391877569258
94.0,-14.867005417440483,-13.06776590179652
95.0,-14.851330064482203,-13.377846886403859
96.0,-14.836354176707877,-13.413644838146865
97.0,-14.823581825221707,-13.597436082549393
98.0,-14.808560120512029,-13.351454763673246
99.0,-14.793644149223287,-13.331878962926567
100.0,-14.779920381102711,-13.421267337165773
101.0,-14.765357086259762,-13.309027601964772
102.0,-14.751429897440852,-13.344783826731145
103.0,-14.737882006633123,-13.355997144244611
104.0,-14.725063472090719,-13.404754414223135
105.0,-14.712512568765808,-13.407218622975051
106.0,-14.699494949278405,-13.332644903101027
107.0,-14.685618718433254,-13.214738248847425
108.0,-14.672010532062915,-13.215934590436518
109.0,-14.66106301832329,-13.478731534443796
