episode,average_reward,reward
1.0,-141.46060983746455,-141.46060983746455
2.0,-86.66336714990042,-31.866124462336302
3.0,-65.49877224248881,-23.16958242766559
4.0,-71.80024218330078,-90.70465200573672
5.0,-67.30627945876802,-49.330428560636946
6.0,-61.46799128460023,-32.276550413761285
7.0,-65.64308252838241,-90.69362999107553
8.0,-74.4821523382276,-136.35564100714402
9.0,-69.36446670446493,-28.422981634363534
10.0,-65.48894556443254,-30.609255304140973
11.0,-65.37443505008324,-64.22932990659028
12.0,-62.28071680787752,-28.24981614361459
13.0,-62.43485711889054,-64.28454085104686
14.0,-63.09816330257712,-71.7211436905027
15.0,-60.66323718202774,-26.574271494336426
16.0,-60.40830626562756,-56.58434251962462
17.0,-61.17018878623947,-73.36030911603012
18.0,-59.07046471340977,-23.37515547530493
19.0,-57.445110295187305,-28.188730767183007
20.0,-55.860416751605285,-25.75123942354694
21.0,-55.393403755171676,-46.05314382649958
22.0,-54.13695143599555,-27.7514527332969
23.0,-52.98188205356006,-27.570355639979244
24.0,-52.04090273834984,-30.398378488514574
25.0,-51.22893261321919,-31.741649610083552
26.0,-51.804771288959905,-66.20073818247766
27.0,-50.94181967056793,-28.505077592376622
28.0,-50.24750726043634,-31.50107218688354
29.0,-49.64460221131956,-32.76326083604945
30.0,-49.1521100877385,-34.86983850388788
31.0,-48.72498488437216,-35.9112287833821
32.0,-48.33443372636434,-36.22734782812186
33.0,-48.046151799006275,-38.821130123548215
34.0,-47.728741587955646,-37.25420462328475
35.0,-47.340858295682,-34.152826358377936
36.0,-47.100413584364816,-38.68484868826344
37.0,-46.8856447331076,-39.15396608784795
38.0,-46.6750181380093,-38.88183411937207
39.0,-46.33217792080164,-33.30424966691062
40.0,-45.997762799958906,-32.95557308709249
41.0,-45.68879759974707,-33.330189591273665
42.0,-45.355829054317915,-31.704118691722396
43.0,-45.75658489812039,-62.588330337824296
44.0,-45.44964238283947,-32.251114225760105
45.0,-45.09218066240768,-29.36386496340856
46.0,-44.770796591960654,-30.308513421844694
47.0,-44.390998547970085,-26.920288524404167
48.0,-44.08444033363681,-29.67620425997302
49.0,-43.73577431914641,-26.99980562360724
50.0,-43.442838422084954,-29.08897946607322
51.0,-43.15189663301585,-28.604807179560886
