episode,average_reward,reward
1.0,-395.195644797496,-395.195644797496
2.0,-277.48353020388896,-159.77141561028188
3.0,-264.78793525221687,-239.39674534887263
4.0,-218.7606982176955,-80.67898711413144
5.0,-209.42248041648654,-172.06960921165063
6.0,-191.74762533013882,-103.37334989840019
7.0,-184.00000973029856,-137.51431613125698
8.0,-199.7177347807437,-309.7418101338599
9.0,-193.17833709079062,-140.86315557116595
10.0,-186.42348058962529,-125.62977207913724
11.0,-180.82643344151367,-124.85596196039779
12.0,-179.14045366131847,-160.59467607917102
13.0,-183.46307081766184,-235.33447669378234
14.0,-172.22043988546798,-26.066237766947598
15.0,-166.27721689217202,-83.07209498602897
16.0,-161.775552180585,-94.25058150677943
17.0,-154.41447591978928,-36.637255747057495
18.0,-149.58815110275194,-67.54062921311707
19.0,-143.4834411439151,-33.59866188485176
20.0,-137.82241140315423,-30.262846328697922
21.0,-132.69278081005015,-30.100168947968633
22.0,-128.05367128056184,-30.632371161307674
23.0,-124.03078135882716,-35.52720308066346
24.0,-120.12215688821398,-30.223794064112006
25.0,-116.64362266746764,-33.15880136955529
26.0,-113.34915051445799,-30.987346689216793
27.0,-110.35936010535328,-32.6248094686307
28.0,-107.5914795717644,-32.85870516486466
29.0,-105.20207867567336,-38.29885358512401
30.0,-102.87996450956926,-35.538653692550724
31.0,-100.61333922243904,-32.61458060853184
32.0,-98.52421993173209,-33.76152191981674
33.0,-96.70866820946154,-38.6110130968038
34.0,-95.01532926625066,-39.135144140291956
35.0,-93.39017283896665,-38.13485431130975
36.0,-91.84016800855119,-37.58999894401059
37.0,-90.2672667074006,-33.642819865979256
38.0,-88.81941893301844,-35.24905128087848
39.0,-87.63057851267108,-42.454642539471386
40.0,-86.45472202588002,-40.59631904102862
41.0,-85.35667205022138,-41.4346730238758
42.0,-84.25727187041753,-39.18186449845962
43.0,-83.23485024318992,-40.29314189963043
44.0,-82.35784332149518,-44.6465456886217
45.0,-81.45156146978447,-41.575159994512795
46.0,-80.59713478449271,-42.14793394636363
47.0,-79.79067911771031,-42.69371844572015
48.0,-79.11207358025523,-47.21761331986636
49.0,-78.5498094148098,-51.561129473429176
50.0,-78.03864306191731,-52.991491770185526
51.0,-77.38828615278155,-44.87044069599361
52.0,-76.81461582170587,-47.55742893684655
53.0,-76.26776854735364,-47.83171028103679
54.0,-75.70827613572973,-46.05517831966281
55.0,-75.22877303912223,-49.335605822317305
56.0,-74.7048070272298,-45.88667637314647
57.0,-74.23302455372426,-47.81320603741332
58.0,-73.71425203361456,-44.14421838736161
59.0,-73.20428315087904,-43.62608795221895
60.0,-72.79709450241492,-48.772964243032035
61.0,-72.35482575481791,-45.818700898997484
62.0,-71.92871897347395,-45.93620531149209
63.0,-71.54980524481824,-48.05715406816453
64.0,-71.12352249720209,-44.2677093973849
65.0,-70.6914643841846,-43.03974515106529
66.0,-70.35359419519719,-48.39203191101551
67.0,-69.96613906277277,-44.394100322760636
68.0,-69.60196036343973,-45.201987508125605
69.0,-69.276158311432,-47.1216187749058
70.0,-68.9218886189968,-44.477279840968556
71.0,-68.52107039084333,-40.46379442010075
72.0,-68.24073157159212,-48.336675404757266
73.0,-67.96702262290296,-48.25997831728309
74.0,-67.66753353039685,-45.80482977745123
75.0,-67.38097683180746,-46.175781136192384
76.0,-67.01698427760705,-39.71754271257669
77.0,-66.72094372815043,-44.22186196944676
78.0,-66.39090533371932,-40.977948962524536
79.0,-66.11300808238987,-44.43702247869223
80.0,-65.81101070539736,-41.95321792298928
81.0,-65.59125616303302,-48.010892773885274
82.0,-65.35996134570496,-46.625081142131236
83.0,-65.09214995963592,-43.13161630197428
84.0,-64.84924034121826,-44.68774201255292
85.0,-64.57352735647497,-41.41363663803786
86.0,-64.29366198847572,-40.50510570853949
87.0,-64.06272734112441,-44.20234766891227
88.0,-63.7747936836952,-38.724565487354994
89.0,-63.49598374520587,-38.960709158144894
90.0,-63.25587980909203,-41.88662949496065
91.0,-63.01244348049668,-41.10317390691489
92.0,-62.768456285796454,-40.56562156807631
93.0,-62.525933144124735,-40.213804110325874
94.0,-62.29046012033305,-40.39146890770644
95.0,-62.07657774278926,-41.97163425367326
96.0,-61.856025563562035,-40.90356853697449
97.0,-61.67031751617956,-43.842344967462125
98.0,-61.47001086586871,-42.04026578571647
