episode,average_reward,reward
1.0,-108.10432395773428,-108.10432395773428
2.0,-133.42143158775966,-158.73853921778502
3.0,-166.20205536296177,-231.76330291336595
4.0,-187.27310427738956,-250.486251020673
5.0,-169.55426602274846,-98.67891300418414
6.0,-188.33913294356785,-282.2634675476646
7.0,-174.7930233858864,-93.51636603979769
8.0,-197.41912061226748,-355.80180119693523
9.0,-188.67622559479165,-118.73306545498517
10.0,-180.25636738973867,-104.47764354426181
11.0,-179.86925734141266,-175.99815685815238
12.0,-180.6292441184942,-188.98909866639133
13.0,-172.9108536846415,-80.29016847840867
14.0,-174.6493633573643,-197.24998910276116
15.0,-175.53372589341274,-187.91480139809082
16.0,-172.76808540513366,-131.28347808094696
17.0,-169.73555837999646,-121.21512597780092
18.0,-164.76637353705468,-80.29023120704441
19.0,-164.57756618462622,-161.1790338409137
20.0,-159.90359070291575,-71.0980565504171
21.0,-155.86156357035568,-75.0210209191544
22.0,-149.8778860004667,-24.220657032798044
23.0,-144.45259321151642,-25.09615185461007
24.0,-140.9317961906148,-59.9534647098778
25.0,-140.2658810989994,-124.28391890022985
26.0,-137.54367330580556,-69.48847847596008
27.0,-136.32252076302385,-104.57255465069903
28.0,-132.9899175141177,-43.0096297936514
29.0,-131.47779310753702,-89.1383097232785
30.0,-130.24328801143795,-94.44264022456483
31.0,-128.62682258358652,-80.13285974804312
32.0,-127.91519393283485,-105.85470575953367
33.0,-128.92882565320855,-161.36504070516676
34.0,-128.1684673874416,-103.07664461713284
35.0,-127.20053479237711,-94.29082656018436
36.0,-130.28563020774013,-238.2639697454448
37.0,-131.5246543809109,-176.12952461505898
38.0,-133.5214920954416,-207.40448753307737
39.0,-135.37829927831626,-205.93697222755287
40.0,-140.2883721280736,-331.7812132686116
41.0,-140.11177709669923,-133.0479758417234
42.0,-140.1833505440091,-143.1178618837148
43.0,-140.3319788936296,-146.57436957769096
44.0,-139.70920094302306,-112.92974906694145
45.0,-138.4844421251181,-84.59505413729931
46.0,-139.13011884547615,-168.1855712615885
47.0,-141.04498180575445,-229.12867797855552
48.0,-140.71988702433507,-125.44043229762464
49.0,-138.46353898499817,-30.158833096828317
50.0,-136.2593121344448,-28.25219645733014
51.0,-139.34973975258177,-293.8711206594297
52.0,-137.5789871199063,-47.27060285345651
53.0,-135.6296062920429,-34.261803243146275
54.0,-135.1473555453933,-109.58806597296427
55.0,-136.62950321032727,-216.66547711676105
56.0,-135.13892686454074,-53.1572278462816
57.0,-134.54234007117978,-101.13347964296645
58.0,-133.73664208918973,-87.81185711575672
59.0,-133.4280238938051,-115.52816856149585
60.0,-131.66467608994716,-27.627155662330917
61.0,-133.46093324241892,-241.23636239072383
62.0,-133.2606187362267,-121.04143385850031
63.0,-132.46092819505736,-82.88011464256012
64.0,-131.75714887762598,-87.41905187944649
65.0,-130.11590819601088,-25.0765045726439
66.0,-129.87883611209784,-114.4691506577511
67.0,-128.40865353481632,-31.37660343423486
68.0,-126.8856534996901,-24.844651146233083
69.0,-125.46187729739769,-28.645095541514458
70.0,-124.04614514915164,-26.360626920172948
71.0,-123.07494077434998,-55.09063453823329
72.0,-121.77945524285981,-29.799982507061213
73.0,-120.48068481381137,-26.9692139223218
74.0,-119.2034055100026,-25.96201633196324
75.0,-118.5746174887315,-72.0443039146696
76.0,-118.57939467672426,-118.9376837761805
77.0,-118.56824405349431,-117.72079668801744
78.0,-117.8143940635163,-59.76794483521007
79.0,-117.07510584341705,-59.41062467567391
80.0,-116.3381502108577,-58.11865523867309
81.0,-115.20509018497943,-24.560288114717693
82.0,-114.62158180189759,-67.35740277227013
83.0,-113.58834413671921,-28.862855592090636
84.0,-113.1386503511757,-75.8140661510639
85.0,-112.59523068022365,-66.94797832025215
86.0,-112.04476028984509,-65.25477710766718
87.0,-111.12199159002562,-31.76388340555132
88.0,-110.13268634360124,-24.063129904679954
89.0,-109.37704086947213,-42.88023914610967
90.0,-108.76875480117819,-54.63129472301807
91.0,-107.83453378484026,-23.75464231442602
92.0,-106.94978763325258,-26.437887838773896
93.0,-106.6015718572943,-74.56572046913207
94.0,-105.7184031179063,-23.583710354822692
95.0,-105.31878083339828,-67.7542860896443
96.0,-105.04237068819138,-78.78340689353647
97.0,-104.76822500406682,-78.45023932810872
98.0,-104.06220578252398,-35.578341292869304
99.0,-103.25500764950642,-24.14959061378613
100.0,-103.13115209122992,-90.86945182185606
101.0,-102.3647512844168,-25.724670603103007
102.0,-102.20966436017714,-86.54588501197141
103.0,-102.12122330537272,-93.10023571532221
