episode,average_reward,reward
1.0,-78.03272967319062,-78.03272967319062
2.0,-109.07346099905669,-140.11419232492275
3.0,-80.36316838740682,-22.942583164107056
4.0,-65.04663358600577,-19.097029181802647
5.0,-68.4341685204628,-81.98430825829095
6.0,-66.85178649517768,-58.93987636875204
7.0,-68.4839277989786,-78.27677562178414
8.0,-80.81158057774675,-167.10515002912388
9.0,-99.90218621130526,-252.6270312797734
10.0,-99.9935327988176,-100.81565208642859
11.0,-100.8054630377425,-108.92476542699151
12.0,-112.4005096654526,-239.94602257026378
13.0,-105.29531369252649,-20.03296201741323
14.0,-104.59460754216636,-95.4854275874845
15.0,-103.26366397742737,-84.63045407108176
16.0,-101.68013230518784,-77.92715722159464
17.0,-101.4495505768994,-97.76024292428428
18.0,-97.01116598295823,-21.558627885958412
19.0,-92.99280830893026,-20.662370176427068
20.0,-89.40061134720919,-21.14886907450855
21.0,-87.86392372744102,-57.130171332077595
22.0,-85.0044136163858,-24.954701284226033
23.0,-82.25322680606699,-21.727116979053243
24.0,-81.81204552447646,-71.66487604789435
25.0,-79.43904532499936,-22.487040537549184
26.0,-78.15572084863042,-46.072608939406926
27.0,-76.08030317056735,-22.119443540927023
28.0,-77.35977639710573,-111.90555351364223
29.0,-77.27948713848261,-75.03138789703516
30.0,-78.80422268968803,-123.0215536746453
31.0,-78.4342139477668,-67.33395169013002
32.0,-76.70518336681118,-23.105235357186757
33.0,-75.05573896136072,-22.27351798694581
34.0,-74.28432489066269,-48.82766055762768
35.0,-72.94012770597617,-27.23742342663463
36.0,-72.62372073339382,-61.54947669301181
37.0,-71.280014293985,-22.906582475267353
38.0,-71.29949541834704,-72.02029701974243
39.0,-70.99693272815712,-59.49955050093995
40.0,-70.29634091619877,-42.973260249824214
41.0,-69.14957686247905,-23.279014713689687
42.0,-69.43634894626041,-81.1940043812967
43.0,-68.33565263417314,-22.106407526507972
44.0,-67.28472584128833,-22.094873747241216
45.0,-66.50580467339097,-32.23327328590676
46.0,-66.1601140812344,-50.604037434188655
47.0,-66.37875294840494,-76.43614083824953
48.0,-65.75933428821033,-36.64665725906379
49.0,-64.9430563890943,-25.761717231525108
50.0,-64.10062313573366,-22.821393721061757
51.0,-63.29438477212988,-22.98246659194119
52.0,-62.595815099482294,-26.968761794455354
53.0,-61.85934784994417,-23.563050873961767
