episode,average_reward,reward
1.0,-11.24703415017575,-11.24703415017575
2.0,-11.22548096254468,-11.203927774913609
3.0,-11.121332027328512,-10.913034156896174
4.0,-24.7842132630758,-65.77285697031766
5.0,-60.42380066271871,-202.98215026129037
6.0,-57.36672204670807,-42.08132896665484
7.0,-59.42007281085743,-71.74017739575356
8.0,-60.69821347412653,-69.6451981170103
9.0,-70.55302849194656,-149.39154863450676
10.0,-69.9346601460129,-64.36934503261
11.0,-64.51093255161223,-10.273656607605517
12.0,-61.89071984201049,-33.06838003639132
13.0,-57.985211672619556,-11.1191136399284
14.0,-58.100712859870065,-59.60222829412669
15.0,-57.0104153694585,-41.7462505036965
16.0,-55.750925780739635,-36.858581949956715
17.0,-54.943409011808825,-42.02314070891589
18.0,-53.36448990501877,-26.522865089587867
19.0,-51.951251683021454,-26.512963687069714
20.0,-49.99392326110974,-12.804683244787157
21.0,-48.21149580748308,-12.562946734949946
22.0,-46.61325859807601,-13.05027720052749
23.0,-45.18444035177969,-13.750438933260739
24.0,-43.88893131050281,-14.09222336113453
25.0,-42.68465934861452,-13.782132263295352
26.0,-41.58287584559562,-14.038288270123303
27.0,-40.57190571183822,-14.286682234145701
28.0,-39.653368905519265,-14.852875134907663
29.0,-38.78003703850996,-14.326744762249291
30.0,-37.97342814573397,-14.581770255230367
31.0,-37.219832007833304,-14.61194787081331
32.0,-36.53051153453998,-15.161576862446964
33.0,-35.87301405465625,-14.833094698376954
34.0,-35.261993346188,-15.098309966735542
35.0,-34.67923073531794,-14.865301965735853
36.0,-34.11374773431776,-14.321842699311674
37.0,-33.577917649158955,-14.288034583441913
38.0,-33.08613568206171,-14.890202899463475
39.0,-32.63140681106597,-15.351709713228047
40.0,-32.17662297636271,-14.440053422935307
41.0,-31.747056059834616,-14.564379398711026
42.0,-31.33898413992886,-14.608035423792899
43.0,-30.952889208638563,-14.736902094446123
44.0,-30.57945715695281,-14.521878934465349
45.0,-30.209279823282525,-13.921477141790092
46.0,-29.865758434261966,-14.40729592833668
47.0,-29.533322053525517,-14.24124853964895
48.0,-29.218483707983978,-14.421081467531621
49.0,-28.92875419148453,-15.02173739951104
50.0,-28.80182288566604,-22.58218890056014
51.0,-28.527955956610977,-14.834609503857791
52.0,-28.2634303285203,-14.772623295895755
53.0,-27.998144535066665,-14.203283275477588
54.0,-27.754125431783635,-14.821112957783043
55.0,-27.509574163400313,-14.303805670700967
56.0,-27.27908066226103,-14.601938099600375
57.0,-27.048711248591804,-14.14802408311516
58.0,-26.84225809155032,-15.074428140185773
59.0,-26.627418026959493,-14.166694280691445
60.0,-26.426130120130257,-14.550143617205322
61.0,-26.23240101752711,-14.608654861338437
62.0,-26.041298067993335,-14.384018146432936
63.0,-25.854147151763005,-14.250790345482528
64.0,-25.673978209480993,-14.323334845714271
65.0,-25.4964204750382,-14.13272547069937
66.0,-25.330813007302243,-14.566327604465187
67.0,-25.16829522215386,-14.442121402360499
68.0,-25.006556356421616,-14.170052352361381
69.0,-24.85471353598911,-14.529401746578515
70.0,-24.70137677851266,-14.121140512637794
71.0,-24.553287116417163,-14.187010769732296
72.0,-24.41114787339595,-14.319261618889868
73.0,-24.265229054994574,-13.759074130095541
74.0,-24.130761469122827,-14.314627700485289
75.0,-23.99269376439353,-13.775683614425361
76.0,-23.859977520499868,-13.906259228475392
77.0,-23.723128188256318,-13.322578937746584
78.0,-23.586643353379213,-13.077311067841947
79.0,-23.464987552005656,-13.97583504486829
80.0,-23.334721640998033,-13.043714671395719
81.0,-23.20774067896936,-13.049263716675341
82.0,-23.08994403973267,-13.548416261561215
83.0,-22.97147115968527,-13.25669499579817
84.0,-22.85374363353254,-13.082358962856233
85.0,-22.737056324565234,-12.935322371311486
86.0,-22.620859954755232,-12.744168520905077
87.0,-22.513650385320357,-13.293627413921058
88.0,-22.407618397307075,-13.182835440151393
89.0,-22.30197415057193,-13.005280437879264
90.0,-22.201768140608653,-13.283433253876865
91.0,-22.096104151047356,-12.586345090530813
92.0,-22.004076930178005,-13.629599831067026
93.0,-21.909001325767846,-13.162045720033348
94.0,-22.158573344974045,-45.368771131150424
95.0,-22.069434552502475,-13.690388060174882
96.0,-21.98653079971943,-14.110674285329878
97.0,-21.894981447588076,-13.10624364297837
98.0,-21.807869039542442,-13.357965459115803
99.0,-21.72090920032651,-13.19884495716542
100.0,-21.638487191637978,-13.478708331473172
101.0,-21.555638107701693,-13.27072971407324
102.0,-21.644680187206568,-30.637930217199028
103.0,-21.566628674189875,-13.605374346487224
104.0,-21.4890973818972,-13.503374275751412
105.0,-21.412482586183717,-13.444543831981719
106.0,-21.339686609707982,-13.696109079755843
107.0,-21.26664554653254,-13.524292849935591
108.0,-21.333270756639884,-28.46216823812574
109.0,-21.26330535467543,-13.70704194251448
110.0,-21.19447117589245,-13.691545688547194
111.0,-21.123665284315074,-13.335017210803926
112.0,-21.057765830848698,-13.742926496081054
113.0,-21.419761344872878,-61.96325891558081
114.0,-21.347145969236042,-13.1416085222736
115.0,-21.63468671873536,-54.41433216165751
116.0,-21.561791434089237,-13.178833699785173
117.0,-21.86865489742058,-57.464816643856466
118.0,-21.791949052339955,-12.81736517790705
119.0,-21.716663867579538,-12.833012065850198
120.0,-21.643834469366507,-12.977136082015932
121.0,-21.980430006765385,-62.371894494630396
122.0,-22.67212562242401,-106.36729511711746
123.0,-22.802532207629667,-38.71213560272008
124.0,-22.929538967440866,-38.551370424218476
125.0,-22.847465480104088,-12.670353050343692
126.0,-24.032833999651114,-172.20389894302934
127.0,-24.792855341559438,-120.5555444220081
128.0,-25.00231465097022,-51.603646946139634
129.0,-25.22380100065019,-53.57405375968665
130.0,-25.57536165540178,-70.92668611835688
131.0,-26.13899448818264,-99.41126274969429
132.0,-26.722394319145348,-103.14777217525989
133.0,-27.367789158345502,-112.55990793276578
134.0,-27.603584963070755,-58.96442699152976
135.0,-28.5764890908919,-158.94564221892506
136.0,-29.055057980250293,-93.6618580436334
137.0,-29.94573996952959,-151.07849051151425
138.0,-29.81556543538455,-11.981654257513583
139.0,-29.688771464292415,-12.191203453578055
140.0,-29.770577962596768,-41.14168122690171
141.0,-29.941443846369467,-53.86266757454723
142.0,-29.975107512941822,-34.72168449964374
143.0,-30.36257802289943,-85.38339043688029
144.0,-30.8076743543756,-94.45644975546747
145.0,-31.415790464035396,-118.98451025504619
146.0,-31.692937191607662,-71.87921268958598
147.0,-31.83887622847545,-53.14597561117262
148.0,-31.71076921647339,-12.87903845217079
149.0,-32.88822260115221,-207.15132353361696
150.0,-33.1544549452203,-72.82307421136647
151.0,-33.16374231802164,-34.5568482382223
152.0,-33.028077959089146,-12.542759760282934
153.0,-34.06365016807674,-191.47062593419105
154.0,-34.181378126622164,-52.19375578407198
155.0,-34.198557604116296,-36.84419713821262
156.0,-34.71042708095569,-114.05019599106163
157.0,-34.96086768001603,-74.02960113342851
158.0,-34.98701471831249,-39.09209973085672
159.0,-35.24483615691838,-75.98062345664948
160.0,-35.60630548989284,-93.0799294328317
161.0,-35.73156005518962,-55.77229050267488
162.0,-35.724497348213866,-34.58740152511746
163.0,-35.83915772662709,-54.414139029569924
164.0,-36.028946371629786,-66.96449550706893
165.0,-35.97207657160858,-26.645429368130863
166.0,-36.07211524672829,-52.57849664147943
167.0,-36.304390396353995,-74.86206523422152
168.0,-36.4076415626055,-53.65058632660657
169.0,-36.92376592111658,-123.63265815097839
170.0,-38.252169887157265,-262.7524401480332
171.0,-38.38550596195137,-61.052638676948845
172.0,-38.86433725067155,-120.74448762182146
173.0,-39.351766673632696,-123.18962742295116
174.0,-40.39789227971636,-221.37762213218957
175.0,-40.50518090188503,-59.173401159234345
176.0,-41.80118140897354,-268.6012701494619
177.0,-41.9145410656929,-61.865840648300946
178.0,-42.965447489690206,-228.97588453721255
179.0,-43.762494435377796,-185.63685076776892
180.0,-43.793130000592726,-49.27689617406577
181.0,-43.86302489525952,-56.444105935283005
182.0,-43.68884108832188,-12.161572032608092
183.0,-44.53838087132842,-199.15462137851864
184.0,-44.895768219721504,-110.29765297565609
185.0,-44.895313088495186,-44.81156894285232
186.0,-44.84199147050079,-34.97749214153737
187.0,-44.96160922683576,-67.21051190514117
188.0,-44.781440944168125,-11.08997208531946
189.0,-44.64780498168889,-19.524244035594165
190.0,-44.7854799536547,-70.8060496551916
191.0,-44.61156744845407,-11.568191460333765
192.0,-44.438682421066915,-11.417642190121114
193.0,-44.280469666703226,-13.90362082887441
194.0,-44.111050541997535,-11.413159473799169
195.0,-44.29458767194779,-79.90079088229686
196.0,-44.127449752035915,-11.535555369220674
197.0,-44.15463671635666,-49.48328172322363
198.0,-43.98977040873389,-11.511107807047665
199.0,-43.82719397355788,-11.637059808708727
200.0,-43.66552790340036,-11.493979942053556
201.0,-43.62551396596361,-35.62272647861391
202.0,-43.464845900423825,-11.170564726926386
203.0,-43.307960648121764,-11.617139683105052
204.0,-43.15244762686209,-11.583304311148822
205.0,-42.997682676005475,-11.425632701255381
206.0,-42.84315662064309,-11.165315271355212
207.0,-42.695658977035485,-12.311144393868744
208.0,-42.54508277978927,-11.375809949822724
209.0,-42.81988470137351,-99.97868439089507
210.0,-42.67079559407596,-11.511172168888152
211.0,-42.52232212701733,-11.342894044704735
212.0,-42.37613564180562,-11.530787262134254
213.0,-42.233031597036536,-11.894974105991423
214.0,-42.08876492573105,-11.359963937662542
215.0,-41.94334422469053,-10.823314202018082
216.0,-41.80045503332426,-11.079278889577836
217.0,-41.660808291627426,-11.49711208511144
218.0,-41.52055997702447,-11.086675708182156
219.0,-41.38180296393281,-11.132774109952152
220.0,-41.24472617930521,-11.224910345859826
221.0,-41.10713657094334,-10.837422731332481
222.0,-41.136480105724104,-47.62140129227191
223.0,-41.003523284191424,-11.487108903937042
224.0,-40.86979593701004,-11.048597515560687
225.0,-40.737417228315024,-11.084586480632424
226.0,-40.60528371431782,-10.875243064947426
227.0,-40.47450859086087,-10.919330689590424
228.0,-40.345839643078904,-11.13798849657178
229.0,-40.21872632556664,-11.236889932770282
230.0,-40.09081979710001,-10.80022477824241
231.0,-39.965369033334916,-11.111693367362022
232.0,-39.84125286560498,-11.170418119989336
233.0,-39.71667525290348,-10.814669106155634
234.0,-39.70509050292377,-37.005843757651746
235.0,-39.58372477672875,-11.184144847095013
236.0,-39.462512922952726,-10.977727285586298
237.0,-39.34225806371674,-10.962111284025013
238.0,-39.66236341213064,-115.52733098622411
239.0,-39.90102199719299,-96.7017652420327
240.0,-39.92394791825015,-45.40324305091053
241.0,-39.80433495422532,-11.097223588265479
242.0,-39.68486377732705,-10.892310144845396
243.0,-39.566167956449995,-10.841779304202646
244.0,-39.659850937113944,-62.42481523845345
245.0,-39.54287404420462,-11.000512174330652
246.0,-39.663507852815016,-69.2187909623608
247.0,-39.54653720844439,-10.771758693270385
248.0,-39.822003066402694,-107.862069982104
249.0,-39.70575167072084,-10.875405541621149
250.0,-39.59064845712297,-10.929948271252215
251.0,-39.6118538141848,-44.91319307964295
252.0,-39.49721931844085,-10.723960886709392
253.0,-39.384681586895816,-11.025173237547278
254.0,-39.27273593180791,-10.950485194567591
255.0,-39.16182566831875,-10.990618742071092
256.0,-39.292888206437055,-72.71383542660624
257.0,-39.55181783549705,-105.8378028748557
258.0,-39.44294516420147,-11.462668641237542
259.0,-39.42522586167531,-34.85364580992609
260.0,-39.67605842271587,-104.64169173222035
261.0,-39.927146065440496,-105.20993317384273
262.0,-39.81659147348135,-10.96184297214495
263.0,-39.708090823250174,-11.280920462682843
264.0,-39.781689483323355,-59.1381370825693
265.0,-39.889546777765084,-68.36387251038104
266.0,-39.782780116651765,-11.489614921621978
267.0,-39.81602576678494,-48.659368702210486
268.0,-39.711497145712094,-11.802355319261551
269.0,-39.60687333021376,-11.567690776661038
270.0,-39.85257223594473,-105.94557787757367
271.0,-39.920529066155645,-58.26887322310358
272.0,-39.90422659097192,-35.486255816183984
273.0,-39.801987014953326,-11.992822337895632
274.0,-39.846026379540504,-51.86877291183919
275.0,-39.747259880284226,-12.68523908406496
276.0,-39.6474437965116,-12.198020759038627
277.0,-39.54850311606592,-12.240875313058496
278.0,-39.45044907745625,-12.289480382576585
279.0,-39.35280818254858,-12.208639398217201
280.0,-39.513106635040145,-84.23637488018721
281.0,-39.41588695177637,-12.19437563791871
282.0,-39.32127241490773,-12.734587554819882
283.0,-39.8550498421329,-190.38028431963176
284.0,-39.757602225297376,-12.179926660843194
285.0,-39.6616842864312,-12.42098964843899
286.0,-39.56637427473618,-12.403020941652358
287.0,-39.47209809538815,-12.50911080185324
288.0,-39.379597124757005,-12.831818553619087
289.0,-39.28518300494489,-12.093916499055922
290.0,-39.37410905972978,-65.07373889256269
291.0,-39.28044279694859,-12.117226590402424
292.0,-39.47029949117102,-94.71859750989825
293.0,-39.378342291213286,-12.52683990355581
294.0,-39.28548132434672,-12.077218032442033
295.0,-39.19352185607482,-12.157438184134662
296.0,-39.103328315026914,-12.496233705896884
297.0,-39.17761844307398,-61.16749634500593
298.0,-39.08693339545206,-12.15347425173968
299.0,-39.221808043621785,-79.41445319820195
300.0,-39.13242875946239,-12.408022795803845
301.0,-39.04389821256738,-12.484734144061804
302.0,-38.95653032594602,-12.658796452917159
303.0,-38.86813488498921,-12.172711716033518
304.0,-38.78142203978668,-12.507429943419993
305.0,-38.69497931231535,-12.416390161029994
306.0,-38.71819991219711,-45.800482876133174
307.0,-38.63281764980449,-12.50584535766393
308.0,-38.54798852297339,-12.505446585826576
309.0,-38.46299403509548,-12.284691768698394
310.0,-38.378455833676306,-12.256151595152915
311.0,-38.29475458306234,-12.34736689273268
312.0,-38.26513604663976,-29.053771219216287
313.0,-38.18351374977486,-12.717357127927244
314.0,-38.102784553952226,-12.83454626146704
315.0,-38.320262996719535,-106.60849402565509
316.0,-38.238558126177495,-12.501523905433714
317.0,-38.15882009266944,-12.961601504124701
318.0,-38.078630511385555,-12.658533244393766
319.0,-37.9994747069488,-12.827928896062076
320.0,-38.03576900084172,-49.61364875268191
321.0,-37.955931409160755,-12.407902071252465
322.0,-37.87622319106667,-12.289885182864964
323.0,-37.798726856596254,-12.844907157123089
324.0,-37.720192055698135,-12.353451365604997
325.0,-37.64309228773318,-12.662767467088997
326.0,-37.90045630103109,-121.54376062285155
327.0,-38.159042587298906,-122.45817191060632
328.0,-38.080410058107745,-12.367573012597859
329.0,-38.28321109583059,-104.8019514689222
330.0,-38.20452009379938,-12.315180425532162
331.0,-38.128617968382294,-13.080916580744088
332.0,-38.05110584247415,-12.394592166878283
333.0,-38.11392502824013,-58.9698947025463
334.0,-38.037825037326705,-12.69652806315571
335.0,-37.963167861615716,-13.027671174146235
336.0,-37.88853436686016,-12.88631362374872
337.0,-37.81421472599819,-12.842815396375954
338.0,-37.87755556083604,-59.22341690119356
339.0,-37.90450173029061,-47.01230700593442
340.0,-37.83131393287622,-13.020650609396398
341.0,-37.75882962375591,-13.114164522849023
342.0,-37.77649675187405,-43.80098744016141
343.0,-37.702390846223594,-12.35817111376673
344.0,-37.63031676466063,-12.908906788565218
345.0,-37.55772828933786,-12.58729277830571
346.0,-37.48637486130522,-12.869442190043628
347.0,-37.55258267268727,-60.46048541087657
348.0,-37.53879472919778,-32.754378338344395
349.0,-37.46726030903354,-12.573282091878355
350.0,-37.39596188409004,-12.512811578810215
351.0,-37.324629753199375,-12.358383941464126
352.0,-37.39734264391237,-62.91956728417426
353.0,-37.621759482332415,-116.61648660618812
354.0,-37.54925293037632,-11.95444008987397
355.0,-37.47766494842289,-12.135519336909056
356.0,-37.40572906001958,-11.868488676846027
357.0,-37.33466785699824,-12.036879581399262
358.0,-37.382874023320326,-54.592475400306284
359.0,-37.71126606335885,-155.27561639714986
360.0,-37.63939213672501,-11.836652475176379
361.0,-37.64774798744482,-40.65585424657911
362.0,-37.84819975009047,-110.21128606516868
363.0,-37.77566917420422,-11.519600703381002
364.0,-37.704589095211794,-11.902520420961082
365.0,-37.93615454776445,-122.22597927693278
366.0,-37.86460360948488,-11.7485111374408
