episode,average_reward,reward
1.0,-923.2817226912907,-923.2817226912907
2.0,-765.4078115759219,-607.5339004605529
3.0,-719.59662400981,-627.9742488775858
4.0,-668.1633611584077,-513.8635726042012
5.0,-666.3407216111561,-659.0501634221498
6.0,-641.5526332017674,-517.6121911548237
7.0,-600.4936752726486,-354.1399276979353
8.0,-569.5814507131927,-353.1958787970019
9.0,-557.7708475566994,-463.2860223047535
10.0,-546.3082099404703,-443.1444713944078
11.0,-530.3944868926116,-371.25725641402437
12.0,-522.0444144258425,-430.19361729138404
13.0,-513.9198948288187,-416.4256596645313
14.0,-504.9254465122273,-387.9976183965405
15.0,-493.2865470969479,-330.3419552830359
16.0,-483.12170390940156,-330.6490560962065
17.0,-473.98858090582604,-327.85861284861795
18.0,-465.24235382591695,-316.5564934674617
19.0,-456.4272396749921,-297.7551849583449
20.0,-451.4606463623086,-357.0953734213208
21.0,-449.2825470618829,-405.7205610533688
22.0,-445.50379929951947,-366.1500962898873
23.0,-441.1870976701901,-346.21966182494396
24.0,-440.44681077644054,-423.4202122202018
25.0,-435.8529379121694,-325.5999891696627
26.0,-458.25333535853883,-1018.2632715177738
27.0,-458.4275377393386,-462.9567996401336
28.0,-457.5192933563559,-432.99669501582395
29.0,-461.0600124269896,-560.2001464047329
30.0,-462.11743452181236,-492.78267527167185
31.0,-461.42129037572744,-440.5369659931801
32.0,-462.10512034013004,-483.30384923661234
33.0,-459.02040214732796,-360.30941997766104
34.0,-456.58992897524143,-376.3843142963872
35.0,-453.3109863575332,-341.8269373554521
36.0,-455.00224142101075,-514.196168642726
37.0,-454.46074138737583,-434.9667401765184
38.0,-454.7979929000941,-467.2762988706685
39.0,-452.6829076099448,-372.3096665842709
40.0,-452.4130059883452,-441.8868427459644
41.0,-451.9381056224038,-432.94209098474545
42.0,-452.1791366696208,-462.06140960551886
43.0,-453.4628636170502,-507.37939540908314
44.0,-454.98169227402593,-520.2913245239843
45.0,-454.448383126607,-430.98278064017484
46.0,-453.7606212808911,-422.81133822367553
47.0,-452.97341801352917,-416.76206771488
48.0,-451.8700233014119,-400.0104718318984
49.0,-451.5047734497391,-433.97278056944447
50.0,-451.2368065619965,-438.10642906260733
51.0,-451.6515115205461,-472.3867594480236
52.0,-451.1333475012733,-424.7069825183594
53.0,-451.704015411919,-481.3787467654963
54.0,-451.89270708488664,-461.8933657521727
55.0,-453.27954435708267,-528.1687570556679
56.0,-452.2289677487379,-394.4472542897764
57.0,-451.6575748141306,-419.6595704761239
58.0,-451.50586196626193,-442.8582296377458
59.0,-451.22386681022493,-434.8681477600801
60.0,-450.8651952605404,-429.70357382915256
61.0,-450.34014927530353,-418.83739016109064
62.0,-449.0823330175178,-372.35554129258924
63.0,-449.95425635627106,-504.01350335897297
64.0,-450.5879962766483,-490.5136112604162
65.0,-450.58517693545764,-450.4047390992546
66.0,-451.26691836930775,-495.5801115695658
67.0,-452.1368816652505,-509.5544591974723
68.0,-451.32556963300334,-396.96766347244403
69.0,-451.06033345441335,-433.02427331029446
70.0,-451.94563748744855,-513.0316157668785
71.0,-452.4253962764114,-486.0085115038107
72.0,-453.8171632348379,-552.632617283119
73.0,-454.5126833307885,-504.59013023923114
74.0,-455.44172876496395,-523.262045459773
75.0,-454.5572572321906,-389.10636380696235
76.0,-454.0881949291274,-418.90852219939177
77.0,-455.05136778097574,-528.2525045214518
78.0,-455.1126543058468,-459.8317167209159
79.0,-454.4505130042662,-402.80349148098355
80.0,-454.475290074162,-456.4326785959147
81.0,-454.65812259778534,-469.2847244876509
82.0,-454.8246805599563,-468.3158754958032
83.0,-454.8620844865692,-457.92920646882686
84.0,-453.86089694574497,-370.7623310573292
85.0,-453.91896214862584,-458.79643919061743
86.0,-454.0969279344116,-469.2240197262008
87.0,-454.27893048798023,-469.9311500948814
88.0,-453.69822404798686,-403.17676376857594
89.0,-453.3652079391115,-424.059790358075
90.0,-453.793526208607,-491.9138521937065
91.0,-452.39373273185396,-326.41231982408624
92.0,-451.775915202067,-395.5545199914476
93.0,-450.88423527787927,-368.84968225261343
94.0,-451.30918126452866,-490.8291580229228
95.0,-452.0377755138603,-520.5256349510375
96.0,-452.0462323152486,-452.84962844713993
97.0,-451.939919883586,-441.73392644397666
98.0,-451.82449728939054,-440.6285056524307
99.0,-451.75274919541425,-444.7214359857387
100.0,-452.5377167137611,-530.2495010301016
101.0,-452.2315798798857,-421.61789649234237
102.0,-451.1676608375697,-343.71183756365565
103.0,-451.1847862849685,-452.9315819196398
104.0,-450.5767851965233,-387.9526730866644
105.0,-450.3470193319501,-426.4513694163354
106.0,-450.21274020366775,-436.1134317340237
107.0,-449.86527489557733,-413.0339522379868
108.0,-449.8529373458051,-448.5328195201773
109.0,-449.7228148641202,-435.6695868421502
110.0,-449.4755514086498,-422.52383476237094
111.0,-449.74835412286524,-479.7566526865627
112.0,-449.692367829056,-443.47788921624533
113.0,-449.59339905458035,-438.50889631330307
114.0,-449.2875491996643,-414.7265155941508
115.0,-449.9379892304082,-524.0881527352152
116.0,-449.8565825230245,-440.4948111738954
117.0,-449.69831586691885,-431.33938375866745
118.0,-449.96764610583966,-481.479284059569
119.0,-450.0491560418847,-459.6673284952023
120.0,-449.97868428036776,-441.592544659855
121.0,-450.9518890213366,-567.7364579375998
122.0,-451.6528248869875,-536.4660646307474
123.0,-451.95364762587536,-488.65402177019035
124.0,-452.13439422029273,-474.3662253336272
125.0,-452.20295079044166,-460.70396548890784
126.0,-452.57678701585684,-499.3063151927598
127.0,-452.70031591454966,-468.26495714984725
128.0,-453.036130105407,-495.6845323442789
129.0,-452.9620524388378,-443.48011111798405
130.0,-453.0621786224907,-465.9784563137168
131.0,-453.5233274037173,-513.4726689631732
132.0,-453.5008362267959,-450.55449205009893
133.0,-453.7844818801366,-491.2257081211051
134.0,-454.23258470166246,-513.830259964599
135.0,-453.4730383721962,-351.69383022371505
136.0,-453.80880757662027,-499.13765017387044
137.0,-453.77537482106953,-449.22852006617126
138.0,-454.5118178789672,-555.4045168109365
139.0,-454.3841886263067,-436.77135175916976
140.0,-454.4645760588193,-465.63842917806215
141.0,-454.8983926787813,-515.6327194734629
142.0,-455.40378437421487,-526.6640134303552
143.0,-455.5473826773796,-475.9383417267586
144.0,-456.325185490643,-567.5509877873193
145.0,-456.3237502494566,-456.11707551862594
146.0,-456.50787907132457,-483.2065582421753
147.0,-456.2408799090039,-417.25900221017616
148.0,-456.39595990112474,-479.1927187428897
149.0,-456.4486638840215,-464.24885335275127
150.0,-456.8391442904007,-515.0207248408999
151.0,-457.53216458304047,-561.4852084789952
152.0,-458.2848789673876,-571.9447510038169
153.0,-458.95348515697344,-560.5816259740138
154.0,-459.02782676682784,-470.4020930745569
155.0,-459.50367724319153,-532.7846506032089
156.0,-460.47238826630957,-610.6225968495986
157.0,-460.37445319424864,-445.0965819527406
158.0,-460.8259717206557,-531.7143803665671
