episode,average_reward,reward
1.0,-617.7319305688204,-617.7319305688204
2.0,-581.8718322062743,-546.0117338437283
3.0,-558.6667505459028,-512.2565872251596
4.0,-556.5934798094207,-550.3736675999745
5.0,-711.314371265422,-1330.197937089427
6.0,-756.3707687240412,-981.6527560171372
7.0,-725.637150607835,-541.235441910598
8.0,-688.4720414342132,-428.3162772188609
9.0,-692.2479701330136,-722.4553997234173
10.0,-672.6849294863277,-496.6175636661548
11.0,-654.5107465900745,-472.7689176275415
12.0,-630.3782438012811,-364.92071312455425
13.0,-607.9890354533271,-339.31853527788024
14.0,-602.1322094787845,-525.9934718097302
15.0,-592.4078169074393,-456.26632090860676
16.0,-580.9844028706286,-409.6331923184687
17.0,-575.1671328031598,-482.09081172365836
18.0,-569.7053684278832,-476.8553740481817
19.0,-572.8935327271963,-630.2804901148315
20.0,-579.1465608929502,-697.9540960422747
21.0,-583.612579481286,-672.932951248004
22.0,-585.8395016351875,-632.6048668671174
23.0,-588.4598299708566,-646.1070533555755
24.0,-587.1129645182798,-556.1350591090136
25.0,-580.4232482023,-419.87005661878425
26.0,-581.2149885159071,-601.0084963560844
27.0,-584.5126136355012,-670.2508667449492
28.0,-585.8627391282579,-622.3161274326899
29.0,-588.4187193780235,-659.9861663714621
30.0,-606.2762133364452,-1124.1435381306737
31.0,-604.8477997952508,-561.9953935594204
32.0,-605.3418477319847,-620.6573337707267
33.0,-599.3577440167988,-407.86642513085064
34.0,-593.0980834580004,-386.5292850176529
35.0,-585.2213423245843,-317.4121437884339
36.0,-586.8519216250293,-643.9221971406096
37.0,-585.880051576931,-550.8927298453918
38.0,-587.3682579525031,-642.4318938486671
39.0,-583.8967333141763,-451.9787970577589
40.0,-584.3679685410711,-602.7461423899753
41.0,-586.4368421912519,-669.1917881984846
42.0,-582.2644510133333,-411.1964127186703
43.0,-580.1561184766344,-491.60615193528054
44.0,-577.2438551531384,-452.0165322428082
45.0,-573.2889646828285,-399.27378398919194
46.0,-574.571908192337,-632.30436612022
47.0,-570.8293594759386,-398.6721185216139
48.0,-567.379454166852,-405.2339046397809
49.0,-563.9243187246641,-398.07781749964226
50.0,-561.667905042595,-451.103634621206
51.0,-559.0352418229747,-427.4020808419614
52.0,-557.6416197202581,-486.5668924817072
53.0,-555.0760903542288,-421.66856332070813
54.0,-552.9037516064159,-437.76979797233616
55.0,-549.7362422522664,-378.69073712818687
56.0,-547.9358555349406,-448.9145860820271
57.0,-547.0286957503697,-496.2277478144025
58.0,-546.8394033940056,-536.0497390812493
59.0,-545.6992828372018,-479.5722905425867
60.0,-544.9573322143168,-501.18224546410215
61.0,-543.8325982883346,-476.34856272939265
62.0,-541.0230691721417,-369.6417930843827
63.0,-540.0884668481424,-482.14312276017534
64.0,-539.4181539860658,-497.1884436752513
65.0,-538.4283486989981,-475.08081032666155
66.0,-536.9771900750063,-442.65187951554606
67.0,-535.8659223923701,-462.5222553383783
68.0,-534.5396673960552,-445.6805826429577
69.0,-532.48239206607,-392.5876696270754
70.0,-531.8024941399698,-484.8895372390507
71.0,-530.7003393316198,-453.5495027471278
72.0,-530.6545523710038,-527.4036781672565
73.0,-530.3154779446837,-505.9021192496417
74.0,-530.404894062659,-536.932270674853
75.0,-528.62134440987,-396.6386701034789
76.0,-527.3962260026764,-435.5123454631579
77.0,-527.1454397450271,-508.0856841636881
78.0,-526.5017899437577,-476.9407552460082
79.0,-525.7464227404128,-466.82778087951215
80.0,-524.6787856245924,-440.33545347478014
81.0,-523.5948078660241,-436.87658718056093
82.0,-523.1130121301654,-484.0875575256211
83.0,-522.3287625103125,-458.0202936823616
84.0,-520.3574520470479,-356.73868359609054
85.0,-520.5051777879279,-532.9141400218421
86.0,-520.167185010216,-491.43779890471035
87.0,-519.4617081164386,-458.7906952515783
88.0,-518.8953342993537,-469.6208122129806
89.0,-518.5488645583453,-488.0595273495902
90.0,-518.3293781111338,-498.79508430931503
91.0,-516.9292361130638,-390.91645628675644
92.0,-516.4711847391043,-474.78850970879034
93.0,-515.385204499135,-415.47502242196447
94.0,-515.4726595823621,-523.6059823224771
95.0,-516.2734820229398,-591.5507914372454
96.0,-515.9919992375775,-489.25113462816404
97.0,-516.4953102318516,-564.8131656821686
98.0,-517.0552543398728,-571.36983281793
99.0,-516.8244360541469,-494.2042440530038
100.0,-517.5483131437878,-589.212145018242
101.0,-517.4828754499122,-510.93910606235016
102.0,-517.0477418968572,-473.09925303829874
103.0,-516.5051788817565,-461.16375134147944
104.0,-515.7195134371593,-434.79597264366
105.0,-515.600065341114,-503.17746335239394
106.0,-515.739812413461,-530.4132550098991
107.0,-515.2716144706493,-465.64263253261316
108.0,-515.6371135812572,-554.7455184162869
109.0,-515.5304308609863,-504.0086970717289
110.0,-515.4885975749119,-510.9287693928044
111.0,-515.8676081044213,-557.5587663504522
112.0,-515.6530552303403,-491.83768620736134
113.0,-515.6156297330891,-511.4239740409518
114.0,-515.5703471085571,-510.4534105364349
115.0,-515.7393074458845,-535.0007859012071
116.0,-515.5091171305216,-489.0372308638009
117.0,-515.2931317336702,-490.2388256988936
118.0,-515.6620362968135,-558.8238701845837
119.0,-515.975792416967,-552.9990145950878
120.0,-516.2936497621346,-554.1186738370826
121.0,-516.914935606735,-591.4692369587747
122.0,-517.430256787058,-579.7841196061628
123.0,-517.2776628233559,-498.6611992516878
124.0,-517.6465512031074,-563.0198219125441
125.0,-517.9724731086277,-558.3867893931467
126.0,-518.2476487940432,-552.6446094709847
127.0,-518.3971879580015,-537.2391226167456
128.0,-519.0337041406663,-599.8712593390769
129.0,-519.3769153941357,-563.3079558382377
130.0,-519.5246699434913,-538.5850068103679
131.0,-520.1629809798059,-603.1434157006946
132.0,-520.7069153834223,-591.9623222571736
133.0,-521.0119302911093,-561.2738981057856
134.0,-521.14577352184,-538.9469232090355
135.0,-521.0760164798272,-511.72857285010616
136.0,-521.5854625130308,-590.3606769955147
137.0,-521.8953222587285,-564.0362476736086
138.0,-522.2508661003192,-570.9603723982386
139.0,-522.632938703059,-575.358957881166
140.0,-523.2486316316108,-608.829948700313
141.0,-523.7426603434969,-592.9066800075491
142.0,-524.3688080673762,-612.6556371343554
143.0,-525.1083157081334,-630.1184006956446
144.0,-526.1985804011767,-682.1064315063799
145.0,-526.6660648201507,-593.9838211524001
146.0,-527.4589958023447,-642.4339882204747
147.0,-527.9513747021425,-599.8386940726286
148.0,-528.2963974720321,-579.0147446458164
149.0,-528.5099833689991,-560.120696120085
150.0,-528.725493910377,-560.8365645757056
151.0,-529.3881412975637,-628.7852493755585
152.0,-529.8847350927485,-604.8703981656606
153.0,-530.5983288120825,-639.0645741508447
154.0,-531.0411236443449,-598.7887329805053
155.0,-531.3020835424858,-571.4899078561812
156.0,-532.0313731446313,-645.0712614771779
157.0,-532.0647123019277,-537.2656208401718
158.0,-531.7530789907873,-482.8266491417446
159.0,-532.4617956584478,-644.439029148807
160.0,-532.7226641992444,-574.2007621858749
161.0,-532.6971863056076,-528.6207233237236
162.0,-532.5201728744958,-504.0210104655037
163.0,-532.329972129193,-501.51745139013536
164.0,-532.3212576684666,-530.9008005700723
165.0,-532.5001020946995,-561.8305879968868
166.0,-532.3899522060506,-514.2152205789805
167.0,-532.8704560183155,-612.6340888542979
168.0,-532.4705827646673,-465.6917494054064
169.0,-531.9111482055141,-437.9261422677888
170.0,-532.0654956568859,-558.1502149387201
171.0,-531.9395622555708,-510.53088403199683
172.0,-532.0880974939562,-557.4876232578583
173.0,-532.1556238115712,-543.7701504413579
174.0,-532.2283965685721,-544.8180835297085
175.0,-532.0684038065465,-504.22966321410087
176.0,-531.9438637454492,-510.149353053442
177.0,-531.7870920040885,-504.19526552461116
178.0,-531.528431025487,-485.74543781299917
179.0,-531.3767099673762,-504.3703616236686
180.0,-531.1143140476931,-484.1454444244172
181.0,-530.9487780133916,-501.152291839111
182.0,-530.7691726110835,-498.2605947933107
183.0,-530.681275551718,-514.6840107472162
184.0,-530.804111303293,-553.2830538414983
185.0,-530.7388173499852,-518.724729941358
