step,target_x,target_y,target_z,target_vx,target_vy,target_vz
0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0
6.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,0.0,0.0,1.0,0.0,0.0,0.0
9.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,0.0,0.0,1.0,0.0,0.0,0.0
11.0,0.0,0.0,1.0,0.0,0.0,0.0
12.0,0.0,0.0,1.0,0.0,0.0,0.0
13.0,0.0,0.0,1.0,0.09819648414850235,0.0,0.0
14.0,0.002045760164037347,0.0,1.0,0.09819648414850235,0.0,0.0
15.0,0.004091520328074694,0.0,1.0,0.09819648414850235,0.0,0.0
16.0,0.006137280259281397,0.0,1.0,0.09819648414850235,0.0,0.0
17.0,0.008183040656149387,0.0,1.0,0.09819648414850235,0.0,0.0
18.0,0.01022880058735609,0.0,1.0,0.09819648414850235,0.0,0.0
19.0,0.012274560518562794,0.0,1.0,0.09819648414850235,0.0,0.0
20.0,0.014320320449769497,0.0,1.0,0.09819648414850235,0.0,0.0
21.0,0.016366081312298775,0.0,1.0,0.09819648414850235,0.0,0.0
22.0,0.018411841243505478,0.0,1.0,0.09819648414850235,0.0,0.0
23.0,0.02045760117471218,0.0,1.0,0.09819648414850235,0.0,0.0
24.0,0.022503361105918884,0.0,1.0,0.09819648414850235,0.0,0.0
25.0,0.024549121037125587,0.0,1.0,0.09819648414850235,0.0,0.0
26.0,0.02659488096833229,0.0,1.0,0.09819648414850235,0.0,0.0
27.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
28.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
29.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
30.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
31.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
32.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
33.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
34.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
35.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
36.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
37.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
38.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
39.0,0.028640640899538994,0.0,1.0,0.0,0.0,0.0
40.0,0.028640640899538994,0.0,1.0,-0.09589583426713943,0.0,0.0
41.0,0.0266428105533123,0.0,1.0,-0.09589583426713943,0.0,0.0
42.0,0.02464498206973076,0.0,1.0,-0.09589583426713943,0.0,0.0
43.0,0.022647151723504066,0.0,1.0,-0.09589583426713943,0.0,0.0
44.0,0.020649321377277374,0.0,1.0,-0.09589583426713943,0.0,0.0
45.0,0.018651491031050682,0.0,1.0,-0.09589583426713943,0.0,0.0
46.0,0.01665366254746914,0.0,1.0,-0.09589583426713943,0.0,0.0
47.0,0.014655832201242447,0.0,1.0,-0.09589583426713943,0.0,0.0
48.0,0.012658001855015755,0.0,1.0,-0.09589583426713943,0.0,0.0
49.0,0.010660172440111637,0.0,1.0,-0.09589583426713943,0.0,0.0
50.0,0.008662342093884945,0.0,1.0,-0.09589583426713943,0.0,0.0
51.0,0.006664512678980827,0.0,1.0,-0.09589583426713943,0.0,0.0
52.0,0.0046666827984154224,0.0,1.0,-0.09589583426713943,0.0,0.0
53.0,0.002668852685019374,0.0,1.0,-0.09589583426713943,0.0,0.0
54.0,0.0006710228626616299,0.0,1.0,-0.09589583426713943,0.0,0.0
55.0,-0.001326806959696114,0.0,1.0,-0.09589583426713943,0.0,0.0
56.0,-0.0033246369566768408,0.0,1.0,-0.09589583426713943,0.0,0.0
