method,success_rate,collision_rate,occupancy_error,formation_error,reward,recovery_score,stage_index,curriculum_env,target_reward,avoidance_reward,collaboration_reward,recovery_reward,smoothness_penalty,consistency_penalty,success_bonus,final_actor_loss,final_critic_loss
task_decomposed,0.0,0.0,1.6194814372062682,0.7473558869361878,36.544140619395826,0.7999999999999998,1.0,avoidance_A2,-0.0009739347696304324,0.8839120463132858,0.9647474961042403,2.104864457309246,0.0001602030027288311,0.0,0.0,-1.506147403717041,0.03666148014366627
single_stream_mlp,0.0,0.0,3.1843309116363527,0.7896115474700928,38.52650863863733,0.7999999999999998,1.0,avoidance_A2,-0.006792524814605714,0.9475747109413146,0.9288301846504211,2.1810134202837945,0.0010005933018841476,0.0,0.0,-1.2964295959472656,0.025265128733590245
without_curriculum,0.0,0.0,1.4970643043518066,0.6402197666168213,38.747814660509796,0.8007928476333618,1.0,avoidance_A2,-0.008686022579669953,0.9466695694684982,1.055813198375702,2.2173331305980684,0.0018285963425116428,0.0,0.0,-1.6401113080978393,0.030332714784890413
without_pyramid_per,0.0,0.0,2.640133275985718,0.27317715835571293,35.824034104041274,0.7999999999999998,1.0,avoidance_A2,0.0039393091201782235,0.8528460752964021,1.3687842426776888,2.097548123955727,0.0011524806936535935,0.0,0.0,-1.3700096368789674,0.019260679497383536
uniform_replay,0.0,0.0,2.2835760259628297,0.18116014957427976,31.369207464865497,0.7900447706985473,1.0,avoidance_A2,0.006171823501586914,0.677190760731697,1.4475568287372587,2.0494991524815562,0.0006061462408180029,0.0,0.0,-1.3574699687957763,0.02353118557482958
td_only_priority,0.0,0.0,1.6335565257072449,0.02137456512451172,31.55217832624693,0.7935442612671852,1.0,avoidance_A2,0.017801765918731685,0.6768927619457245,1.5862820611238482,2.0532930225133894,0.000930992797565706,0.0,0.0,-1.7114002418518066,0.0472335615940392
high_old_mix,0.0,0.0,1.2230668306350707,0.0707113356590271,35.603369531878734,0.7968783932209013,1.0,avoidance_A2,0.020091032266616824,0.8217062431240082,1.5452826258420944,2.136297467827797,0.002558160494142003,0.0,0.0,-1.144730019569397,0.016109495870769024
contribution_only_priority,0.0,0.0,1.050057713985443,0.14135220766067505,32.742624297974764,0.801370979309082,1.0,avoidance_A2,0.01010923671722412,0.7287343225479124,1.4813496981859209,2.063758300304413,0.0005872120563518397,0.0,0.0,-1.2947964477539062,0.020194796808063985
rare_only_priority,0.0,0.0,1.8520566892623902,0.26133732914924623,34.580911667346946,0.7999999999999998,1.0,avoidance_A2,0.0035675587654113773,0.804468687415123,1.3787730373740195,2.084009880483151,0.0010306033119565408,0.0,0.0,-1.2887934589385985,0.02863161588087678
balanced_sample_ratio,0.0,0.0,1.0471080839633942,0.7999889650344849,38.067786973806655,0.8060595638751981,1.0,avoidance_A2,0.014502575576305387,0.9313979916143418,0.920009379720688,2.130543699026108,0.0005449074736150912,0.0,0.0,-1.2106909990310668,0.02077983310446143
low_old_mix,0.0,1.0,0.7739204296043941,0.02995100702558245,7.813404667742282,0.8050383977357832,1.0,avoidance_A2,0.178228930916105,0.43067471271753316,1.58518694119794,2.042762102139848,0.00793996930705061,0.0,0.0,-1.0378349423408508,0.009047100476454944
high_rare_ratio,0.0,0.0,1.0383909833431244,0.024453447818756104,39.26509734538352,0.8283093383312226,1.0,avoidance_A2,0.11783304876089094,0.9106263699960709,1.5878790204167366,2.163604766845703,0.002830195879845678,0.0,0.0,-1.1532684636116028,0.017351190028712153
